pl_name,radius,mass,orbital_period,eccentricity,star_name,star_mass,star_radius,star_teff,star_distance,ra,dec,discovered,detection_type,eq_temperature
109 psc b,1.152,6.8,1075.4,0.104,109 Psc,1.13,1.79,5600.0,32.56,26.2326,20.08315,2000,"Radial Velocity, Astrometry",
112 psc b,,,4.4,0.376,112 Psc,1.1,1.801,5986.0,31.7627,30.03816479792542,3.097014011124166,2022,Radial Velocity,
112 psc c,,9.866,36336.7,0.174,112 Psc,1.1,1.801,5986.0,31.7627,30.03816479792542,3.097014011124166,2022,"Radial Velocity, Astrometry",
11 umi b,,,516.22,0.08,11 UMi,1.8,24.08,4340.0,119.5,229.275,71.8238889,2009,Radial Velocity,
14 and ab,,,185.84,0.0,14 And A,2.2,11.0,4813.0,76.4,352.8208333,39.2361111,2008,Radial Velocity,
14 her b,,8.9,1767.56,0.3683,14 Her,0.9,0.708,5311.0,18.1,242.5958333,43.8216667,2002,"Radial Velocity, Astrometry",
14 her c,,7.9,52160.0,0.52,14 Her,0.9,0.708,5311.0,18.1,242.5958333,43.8216667,2006,"Radial Velocity, Astrometry, Imaging",
16 cyg bb,,,799.5,0.689,16 Cyg B,1.01,0.98,5766.0,21.41,295.4625,50.5175,1996,Radial Velocity,
18 del ab,,,993.3,0.08,18 Del A,2.3,8.5,4979.0,73.1,314.6083333,10.8391667,2008,Radial Velocity,
1rxs 1609 b,1.7,6.6,,0.25,1RXS 1609,0.73,1.35,4060.0,145.0,242.375,-21.0827778,2008,Imaging,
23 lib b,,1.8,258.19,0.233,23 Lib,1.07,1.25,5740.0,22.2,228.3666667,-25.3091667,1999,Radial Velocity,
23 lib c,,1.9,5000.0,0.12,23 Lib,1.07,1.25,5740.0,22.2,228.3666667,-25.3091667,2009,Radial Velocity,
24 boo b,,,30.3506,0.042,24 Bo&ouml;,0.99,10.64,4893.0,100.0,217.162500013,49.845000026,2018,Radial Velocity,
24 sex b,,,452.8,0.09,24 Sex,1.54,4.9,5098.0,72.2084,155.868205808,-0.902243675771,2010,Radial Velocity,
24 sex c,,,883.0,0.29,24 Sex,1.54,4.9,5098.0,72.2084,155.868205808,-0.902243675771,2010,Radial Velocity,
2m1510 (ab)b,,0.031,100.0,,2M1510(AB),0.066,,,35.51,227.699375,-28.30486388888889,2025,Radial Velocity,
2mass j0103-5515 (ab)b,1.54,10.5,,,2MASS J0103-5515,0.4,,,47.2,15.9,-55.2656,2013,Imaging,
2mass j0437+2651 b,,4.0,,,2MASS J0437+2651,0.0165,0.84,3100.0,128.1,69.3405544,26.850296,2021,Imaging,
2mass j0534-0530 b,,4.6,,,2MASS J0534-0530,0.07,0.74,2841.0,413.5,83.61902968,-5.509038831,2020,Imaging,
2mass j0558-4501 b,,9.0,,,2MASS J0558-4501,,,,,89.56833333333333,-45.03247222222223,2024,Imaging,
2mass j1155-7919 b,,10.0,,,2MASS J1155-7919,,,,101.15,178.769,-79.32,2020,Astrometry,
2mass j1252+2735 b,,,35.08,0.0,2MASS J1252+2735,0.88,1.076,5181.0,197.2,193.212500017,27.586944459,2021,Radial Velocity,
2mass j1253+2734 b,,,24.31,0.681,2MASS J1253+2734,0.71,0.633,4535.0,196.184,193.254166667,27.57194446,2021,Radial Velocity,
2mass j1258+2630 b,,,11.88,0.598,2MASS J1258+2630,0.5898,0.602,3825.0,58.5849,194.595833341,26.502500012,2021,Radial Velocity,
2mass j2236+4751 b,,12.5,,,2MASS J2236+4751,0.6,,,63.0,339.104166675,47.861944471,2016,Imaging,
38 vir b,,,825.9,0.03,38 Vir,1.18,1.45,6557.0,,193.296489462,-3.55309929126,2016,Primary Transit,
41 com ab,,,610.2,0.28,41 Com,1.49,25.11,4181.0,102.0,196.795833337,27.624722241,2017,Radial Velocity,
44 uma b,,,785.74,0.11,44 Uma,2.19,45.12,4215.0,200.4,163.39355033875404,54.58512741108192,2020,Radial Velocity,
47 uma b,,,1078.0,0.032,47 UMa,1.03,1.24,5892.0,13.97,164.8708333,40.4294444,1996,Radial Velocity,
47 uma c,,,2391.0,0.098,47 UMa,1.03,1.24,5892.0,13.97,164.8708333,40.4294444,2001,Radial Velocity,
47 uma d,,,14002.0,0.16,47 UMa,1.03,1.24,5892.0,13.97,164.8708333,40.4294444,2010,Radial Velocity,
51 eri ab,1.11,4.1,10260.0,0.49,51 Eri A,1.75,,,29.4,69.4005514287,-2.47354859817,2015,Imaging,
51 peg b,1.9,0.61,4.2307966,0.0069,51 Peg,1.03,1.176,5758.0,15.4614,344.3625,20.7686111,1995,Radial Velocity,
51 peg c,,10.0,,,51 Peg,1.03,1.176,5758.0,15.4614,344.3625,20.7686111,2011,"Imaging, Astrometry",
54 psc b,,0.23,62.25,0.645,54 Psc,0.79,0.947,5173.0,11.0,9.8375,21.2502778,2003,Radial Velocity,
55 cnc ab,,0.84,14.65314,0.0023,55 Cnc A,0.9,0.963,5250.0,12.5855,133.1492129350179,28.330820831797222,1996,Radial Velocity,
55 cnc ac,,,44.373,0.072,55 Cnc A,0.9,0.963,5250.0,12.5855,133.1492129350179,28.330820831797222,2002,Radial Velocity,
55 cnc ad,,,5574.2,0.0269,55 Cnc A,0.9,0.963,5250.0,12.5855,133.1492129350179,28.330820831797222,2002,Radial Velocity,
55 cnc ae,0.1737,0.02703,0.7365478,0.028,55 Cnc A,0.9,0.963,5250.0,12.5855,133.1492129350179,28.330820831797222,2004,"Radial Velocity, Primary Transit",
55 cnc af,,,260.91,0.08,55 Cnc A,0.9,0.963,5250.0,12.5855,133.1492129350179,28.330820831797222,2007,Radial Velocity,
55 cnc bb,,,6.7994,0.0,55 Cnc B,0.26,0.274,3286.0,12.477,133.17025,28.316333333333333,2025,Radial Velocity,
55 cnc bc,,,33.747,0.0,55 Cnc B,0.26,0.274,3286.0,12.477,133.17025,28.316333333333333,2025,Radial Velocity,
61 vir b,,0.052,4.215,0.12,61 Vir,0.95,0.94,5531.0,8.52,199.6,-18.3111111,2009,Radial Velocity,
61 vir c,,0.021,38.021,0.14,61 Vir,0.95,0.94,5531.0,8.52,199.6,-18.3111111,2009,Radial Velocity,
61 vir d,,,123.01,0.35,61 Vir,0.95,0.94,5531.0,8.52,199.6,-18.3111111,2009,Radial Velocity,
6 lyn b,,,934.3,0.073,6 Lyn,1.7,5.2,4978.0,56.9,97.6958333,58.1627778,2008,Radial Velocity,
70 vir ab,,8.0,116.67,0.43,70 Vir A,0.92,1.968,5432.0,22.0,202.1083333,13.7866667,1996,Radial Velocity,
75 cet ab,,,696.6,0.093,75 Cet A,2.49,10.5,4846.0,81.5,38.0375,-1.035,2012,Radial Velocity,
75 cet ac,,,2052.0,0.023,75 Cet A,2.49,10.5,4846.0,81.5,38.0375,-1.035,2023,Radial Velocity,
79 cet ab,,,75.82,0.28,79 Cet A,1.01,1.0,5533.0,35.9,38.8291667,-3.5605556,2000,Radial Velocity,
81 cet b,,,952.7,0.206,81 Cet,2.4,11.0,,97.2,39.425,-3.3961111,2008,Radial Velocity,
82 eri b,,,18.313,0.057,82 Eri,0.813,0.9,5490.0,6.06,49.9833333,-43.0697222,2011,Radial Velocity,
82 eri c,,,89.68,0.077,82 Eri,0.813,0.9,5490.0,6.06,49.9833333,-43.0697222,2011,Radial Velocity,
82 eri d,,,648.2,0.47,82 Eri,0.813,0.9,5490.0,6.06,49.9833333,-43.0697222,2011,Radial Velocity,
82 eri e,,,147.02,0.29,82 Eri,0.813,0.9,5490.0,6.06,49.9833333,-43.0697222,2017,Radial Velocity,
8 umi b,,,93.31,0.062,8 Umi,1.8,9.9,4847.4,159.1,224.200000016,74.900833352,2015,Radial Velocity,
94 cet ab,,,466.2,0.063,94 Cet A,1.34,1.93,5984.0,22.38,48.1916667,-1.1958333,2003,Radial Velocity,
ab aur b,,9.0,,0.4,AB Aur,2.4,2.28,9500.0,144.0,73.9416667,30.5511111,2008,"Imaging, Other, Kinematic",
ab pic b,1.75,12.9,,0.54,AB Pic,,,5285.0,47.3,94.8,-58.0541667,2005,"Imaging, Astrometry",
ab pic c,,5.75,,,AB Pic,,,5285.0,47.3,94.8,-58.0541667,2022,Astrometry,
af lep b,1.3,3.75,8875.0,0.013,AF Lep,1.2,1.25,6130.0,26.843,81.770833335,-11.90111113,2023,Imaging,
alf ari b,,,380.8,0.25,alf Ari,1.5,13.9,4553.0,20.2,31.7916667,23.4622222,2011,Radial Velocity,
as 209 b,,1.3,,,AS 209,1.2,2.18,4265.0,121.0,252.312500005,-14.369166676,2022,Imaging,
at2021uey b,,1.34,4170.0,,AT2021uey,0.49,,3680.0,1040.0,324.5450416666667,26.466569444444445,2025,Microlensing,
au mic b,0.4273,0.028,8.463446,0.07,AU Mic,0.5,0.75,3700.0,9.79,311.29166667,-31.340833346,2020,Primary Transit,
au mic c,0.2248,0.0456,18.859023,0.18,AU Mic,0.5,0.75,3700.0,9.79,311.29166667,-31.340833346,2020,Primary Transit,
au mic d,,0.003187,12.73812,0.00097,AU Mic,0.5,0.75,3700.0,9.79,311.29166667,-31.340833346,2022,TTV,
barnard's star b,,,3.1542,0.03,Barnard's star,0.162,0.185,3195.0,1.82823,269.454166683,4.693333355,2024,Radial Velocity,
barnard's star c,,,4.1244,0.08,Barnard's star,0.162,0.185,3195.0,1.82823,269.454166683,4.693333355,2024,Radial Velocity,
barnard's star d,,,2.3402,0.04,Barnard's star,0.162,0.185,3195.0,1.82823,269.454166683,4.693333355,2024,Radial Velocity,
barnard's star e,,,6.7392,0.04,Barnard's star,0.162,0.185,3195.0,1.82823,269.454166683,4.693333355,2024,Radial Velocity,
b cen (ab)b,,10.9,1800000.0,0.4,b Cen (AB),5.5,,,99.7,220.491666686,-37.793611135,2021,Imaging,
bd+03 2562 b,,,481.9,0.2,BD+03 2562,1.14,32.35,4095.0,2618.0,177.564802922,2.76013113422,2017,Radial Velocity,
bd-06 1339 c,,,125.94,0.31,BD-06 1339,0.7,,4324.0,20.0,88.25,-5.9947,2013,Radial Velocity,
bd-06 1339 d,,,487.0,0.02,BD-06 1339,0.7,,4324.0,20.0,88.25,-5.9947,2014,Radial Velocity,
bd-06 1339 e,,,2.3946,0.03,BD-06 1339,0.7,,4324.0,20.0,88.25,-5.9947,2019,Radial Velocity,
bd-08 2823 b,,,5.6,0.15,BD-08 2823,0.74,,4746.0,42.2,150.2,-9.5166667,2009,Radial Velocity,
bd-08 2823 c,,,237.6,0.19,BD-08 2823,0.74,,4746.0,42.2,150.2,-9.5166667,2009,Radial Velocity,
bd-10 3166 b,1.03,0.51,3.4878,0.0104,BD-10 3166,0.99,1.71,5400.0,66.0,164.6166667,-10.7702778,2000,Radial Velocity,
bd-11 4672 b,,,1634.0,0.05,BD-11 4672,0.571,0.52,4475.0,27.3,278.370833343,-11.636111126,2010,Radial Velocity,
bd-11 4672 c,,,74.2,0.4,BD-11 4672,0.571,0.52,4475.0,27.3,278.370833343,-11.636111126,2020,Radial Velocity,
bd-14 3065 ab,1.93,12.37,4.2889731,0.07,BD-14 3065 A,1.41,2.35,6935.0,566.7,153.66970833333332,15.642869444444443,2024,Primary Transit,
bd+14 4559 b,,,268.94,0.29,BD+14 4559,0.86,,5008.0,50.0,318.4,14.6894444,2009,Radial Velocity,
bd+15 2375 b,,,153.22,0.001,BD+15 2375,1.08,8.95,4649.0,774.0,176.483333352,14.616388914,2016,Radial Velocity,
bd+15 2940 b,,,137.48,0.26,BD+15 2940,1.1,14.7,4796.0,585.0,240.0958,15.5469,2013,Radial Velocity,
bd-17 63 b,,5.325,655.6,0.54,BD-17 63,0.74,0.69,4714.0,34.6,7.1416667,-16.2263889,2008,Radial Velocity,
bd+20 2457 c,,,621.99,0.18,BD+20 2457,2.8,,4127.0,1670.0,154.1875,19.8913889,2009,Radial Velocity,
bd+20 274 b,,,578.2,0.21,BD+20 274,0.8,17.3,4296.0,,25.9208333,21.005,2010,Other,
bd+20 594 b,0.23,0.07,41.6855,0.0,BD+20 594,1.67,1.08,5766.0,180.39,53.650967,20.599232,2016,Primary Transit,
bd-21 397 c,,4.47,6369.25,0.296,BD-21 397,0.679,0.747,4051.0,23.74,33.300000004,-21.196388903,2023,"Radial Velocity, Astrometry",
bd+37 3172 b,,,1887.76,0.59,BD+37 3172,3.75,50.24,4500.0,453.8,278.8155,38.11533333333333,2023,Radial Velocity,
bd+42 2315 b,,,123.05,0.73,BD+42 2315,1.38,17.85,4500.0,607.8,187.58866666666668,41.26961111111111,2023,Radial Velocity,
bd+45 564 b,,,307.88,0.12,BD+45 564,,,,53.7,32.945833349,45.924166691,2021,Radial Velocity,
bd+48 738 b,,,392.6,0.2,BD +48 738,0.74,11.0,4414.0,,40.7083333,49.5869444,2011,Radial Velocity,
bd+48 740 b,,,733.0,0.76,BD+48 740,1.09,10.33,4534.0,678.933,40.7425761701428,48.9300627759788,2012,Other,
bd+49 828 b,,,2590.0,0.35,BD+49 828,1.52,7.6,4943.0,,45.641666678,49.730000025,2015,Radial Velocity,
bd+55 362 b,,,265.59,0.27,BD+55 362,,,,52.65,23.962500017,56.699166693,2021,Radial Velocity,
bd+63 1405 ab,,,1198.48,0.88,BD+63 1405 A,0.85,0.8047,5073.0,38.09,271.400000012,63.668888904,2021,Radial Velocity,
bebop-2 (ab)b,0.9876,2.84,188.763,0.089,BEBOP-2 (AB),2.4398,,6030.0,246.263,128.662500013,31.553888903,2021,Primary Transit,
bebop-3 (ab)b,,,347.0,0.247,BD+79 230 (AB),1.4361,1.414,6033.0,118.0,110.902875,79.132525,2025,Radial Velocity,
beta cnc ab,,,605.2,0.08,beta Cnc A,1.7,48.96,3990.0,92.99,124.129166677,9.185555561,2014,Radial Velocity,
beta pic b,1.35,11.9,7707.0,0.103,beta Pic,1.73,1.8,8052.0,19.3,86.8208333,-51.0663889,2008,Imaging,
beta pic c,1.2,8.89,1227.0,0.32,beta Pic,1.73,1.8,8052.0,19.3,86.8208333,-51.0663889,2019,Radial Velocity,
beta umi b,,,522.3,0.19,beta Umi,1.4,42.06,4126.0,40.14,222.675000014,74.155555563,2014,Radial Velocity,
cd cet b,,0.01244,2.2907,,CD Cet,0.161,0.175,3130.0,8.609,48.345833341,4.774722244,2020,Radial Velocity,
chi sco b,,,578.38,0.06,chi Sco,1.22,25.92,4157.0,116.0,243.462500017,-11.837777798,2020,Radial Velocity,
chi vir b,,,835.477,0.462,chi Vir,2.17,20.9,4445.0,90.0,189.8083333,-7.9955556,2009,Radial Velocity,
chi vir c,,,130.0,0.44,chi Vir,2.17,20.9,4445.0,90.0,189.8083333,-7.9955556,2015,Radial Velocity,
chxr 73 b,,12.0,,,CHXR 73,0.35,,,,166.6208333,-77.6258333,2006,Imaging,
ci tau c,,,25.2,0.58,CI Tau,0.9,,,158.0,68.466666684,22.84166669,2024,Radial Velocity,
coconuts-2 b,1.03,7.3,,,COCONUTS-2,0.37,0.388,3406.0,10.89,117.304166671,-76.70194446,2021,Imaging,
corot-10 b,0.97,2.75,13.2406,0.53,CoRoT-10,0.89,0.79,5075.0,345.0,291.0625,0.7461111,2010,Primary Transit,
corot-11 b,1.43,2.33,2.994325,0.0,CoRoT-11,1.27,1.36,6343.0,560.0,280.6875,5.9377778,2010,Primary Transit,
corot-12 b,1.44,0.917,2.8280517,0.07,CoRoT-12,1.078,1.116,5675.0,1150.0,100.7666667,-1.2963889,2010,Primary Transit,
corot-13 b,0.885,1.308,4.0350906,0.0,CoRoT-13,1.09,1.01,5945.0,1310.0,102.7208333,-5.0863889,2010,Primary Transit,
corot-14 b,1.09,7.6,1.51214,0.0,CoRoT-14,1.13,1.21,6035.0,1340.0,103.425,-5.5361111,2010,Primary Transit,
corot-16 b,1.17,0.535,5.35227,0.33,CoRoT-16,1.098,1.19,5650.0,840.0,278.525,-6.0025,2010,Primary Transit,
corot-17 b,1.02,2.43,3.768125,0.0,CoRoT-17,1.04,1.59,5740.0,920.0,278.6958333,-6.6122222,2010,Primary Transit,
corot-18 b,1.31,3.47,1.90009057,0.08,CoRoT-18,0.95,1.0,5440.0,870.0,98.17240694553256,-0.0315904566423555,2011,Primary Transit,
corot-19 b,1.29,1.11,3.8971372,0.047,CoRoT-19,1.21,1.65,6090.0,800.0,97.03357783914625,-0.1707035667028481,2011,Primary Transit,
corot-1 b,1.49,1.03,1.50896848,0.0,CoRoT-1,1.26,1.29,6355.0,460.0,102.0791667,-3.1022222,2007,Primary Transit,
corot-20 b,0.84,4.24,9.2431839,0.562,CoRoT-20,1.14,0.92,5880.0,1230.0,97.730434,0.22692,2011,Primary Transit,
corot-21 b,1.3,2.26,2.72474,0.0,CoRoT-21,1.29,1.95,6200.0,1400.0,101.05245,-0.29913,2011,Primary Transit,
corot-22 b,0.4354,0.06,9.75598,0.077,CoRoT-22,1.099,1.136,5939.0,592.0,280.66666668,6.225000011,2011,Primary Transit,
corot-23 b,1.08,2.8,3.6314,0.16,CoRoT-23,1.14,1.61,5900.0,600.0,279.782615,4.3578,2011,Primary Transit,
corot-24 b,0.33,0.018,5.1134,0.0,CoRoT-24,0.91,0.86,4950.0,600.0,101.925000014,-3.719444461,2011,Primary Transit,
corot-24 c,0.44,0.088,11.759,0.0,CoRoT-24,0.91,0.86,4950.0,600.0,101.925000014,-3.719444461,2011,Primary Transit,
corot-25 b,1.08,0.27,4.86069,,CoRoT-25,1.09,1.19,6040.0,1000.0,280.6292,6.5139,2012,Primary Transit,
corot-26 b,1.26,0.52,4.20474,0.0,CoRoT-26,1.09,1.79,5590.0,1670.0,279.75,6.97,2012,Primary Transit,
corot-27 b,1.007,10.39,3.57532,0.065,CoRoT-27,1.05,1.08,5900.0,,278.4958,5.5386,2012,Primary Transit,
corot-28 b,0.955,,5.20851,0.047,CoRoT-28,1.01,1.78,5150.0,560.0,278.6875,5.5739,2012,Primary Transit,
corot-29 b,0.9,0.85,2.85057,0.082,CoRoT-29,0.976,0.9,5260.0,765.0,278.9042,6.4797,2012,Primary Transit,
corot-2 ab,1.465,3.31,1.7429964,0.0,CoRoT-2 A,0.972,0.938,5529.0,213.283,291.7791667,1.3838889,2007,Primary Transit,
corot-30 b,1.009,2.9,9.06005,0.007,CoRoT-30,0.98,0.91,5660.0,960.0,277.600000008,6.835833352,2017,Primary Transit,
corot-31 b,1.46,0.84,4.62941,0.02,CoRoT-31,1.25,2.15,5370.0,2190.0,94.820833339,-4.422222235,2017,Primary Transit,
corot-32 b,0.57,0.15,6.71837,,CoRoT-32,1.09,0.79,5970.0,,100.195833349,9.257500011,2017,Primary Transit,
corot-35 b,1.68,1.1,3.22748,0.0,CoRoT-35,1.01,1.65,6390.0,1140.0,289.312500005,-2.774722244,2022,Primary Transit,
corot-36 b,1.41,0.68,5.616531,0.0,CoRoT-36,1.32,1.52,6730.0,954.0,277.75,7.183611115,2022,Primary Transit,
corot-4 b,1.19,0.72,9.20166201,0.0,CoRoT-4,1.1,1.15,6190.0,,102.1958333,-0.6727778,2008,Primary Transit,
corot-5 b,1.33,0.467,4.0379148,0.09,CoRoT-5,1.0,1.186,6100.0,400.0,101.2791667,0.8152778,2008,Primary Transit,
corot-6 b,1.166,2.96,8.886593,0.1,CoRoT-6,1.055,1.025,6090.0,,281.075,6.6633333,2009,Primary Transit,
corot-7 ab,0.136,0.01907,0.8535,0.12,CoRoT-7 A,0.93,0.87,5313.0,150.0,100.9541667,-1.0627778,2009,Primary Transit,
corot-7 ac,,,3.697,0.12,CoRoT-7 A,0.93,0.87,5313.0,150.0,100.9541667,-1.0627778,2009,Radial Velocity,
corot-7 ad,,,8.966,0.0,CoRoT-7 A,0.93,0.87,5313.0,150.0,100.9541667,-1.0627778,2010,Radial Velocity,
corot-8 b,0.5692,0.2158,6.21229,0.0,CoRoT-8,0.88,0.77,5080.0,380.0,291.5875,1.4266667,2010,Primary Transit,
corot-9 ab,0.94,0.84,95.273804,0.133,CoRoT-9 A,0.99,0.94,5625.0,460.0,280.7875,6.2041667,2010,Primary Transit,
coup 710 b,,10.96,,,COUP 710,0.2,0.78,2860.0,389.48,83.814199,-5.433193,2020,Imaging,
ct cha b,2.2,9.7,,0.59,CT Cha,,,,165.0,166.0375,-76.4552778,2008,Imaging,
dd crb (ab)b,,,4852.3,0.46,DD CrB (AB),0.544,0.164,29230.0,518.549,233.456017209,37.9911376052,2016,Timing,
de cvn b,,,4098.1,,DE CVn,,,,,201.720833351,45.54638891,2018,TTV,
dh tau b,2.6,11.3,2722900.0,0.58,DH Tau,0.41,1.26,3600.0,134.85,67.425,26.5494444,2005,Imaging,
dmpp-4 b,,,3.39791,0.067,DMPP-4,1.25,1.38,6400.0,25.43,293.58333334,51.236666674,2023,Radial Velocity,
dm tau b,,3.0,,,DM Tau,0.47,1.3,3705.0,145.0,68.45304166666666,18.169444444444444,2016,Imaging,
dp leo (ab) b,,6.05,10230.0,0.39,DP Leo (AB),0.69,,,,169.3166667,17.9613889,2009,Timing,
ds tuc ab,0.5085,0.0453,8.138268,,DS Tuc A,0.959,0.872,5597.0,44.12,354.91666668,-69.195833347,2019,Primary Transit,
dw lyn b,,,1450.0,,DW Lyn,,,,,106.790862503,60.6472583571,2013,Timing,
elias 2-27 b,,11.0,,,Elias 2-27,0.5,2.3,3850.0,115.0,246.68763266736,-24.38549810559,2017,"Imaging, Other",
epic 201390927 b,0.31814,,2.6378,,EPIC 201390927,0.97,1.01,5711.0,,184.5855477,-1.0988298,2018,Primary Transit,
epic 201456770 b,0.20707,,8.0069,,EPIC 201456770,0.93,0.861,5365.82,511.581,185.69743891136,-0.12189968149,2021,Primary Transit,
eps crb ab,,,417.9,0.11,eps CrB A,1.7,21.0,4406.0,67.9,239.3958,26.8778,2012,Radial Velocity,
eps eridani b,,0.98,2674.0,0.06,eps Eridani,0.83,0.895,5116.0,3.2,53.2291667,-9.4580556,2000,Radial Velocity,
eps ind ab,,6.31,,0.4,eps Ind A,0.762,0.738,4611.0,3.6384,330.841666674,-56.786111129,2018,Radial Velocity,
eps ret ab,,,415.2,0.058,eps Ret A,1.2,6.6,4749.0,18.1,64.1208333,-59.3019444,2000,Radial Velocity,
eps tau b,,,594.9,0.151,eps Tau,2.7,13.7,4901.0,45.0,67.1541667,19.1805556,2007,Radial Velocity,
eta2 hyi b,,,711.0,0.4,eta2 Hyi,1.91,13.0,4975.0,66.5,28.7333333,-67.6472222,2005,Radial Velocity,
eta cet b,,,403.5,0.13,eta Cet,1.7,14.3,4528.0,38.0,17.145833345,-10.182222238,2014,Radial Velocity,
eta cet c,,,751.9,0.1,eta Cet,1.7,14.3,4528.0,38.0,17.145833345,-10.182222238,2014,Radial Velocity,
fn lyr b,,,794.8,0.28,FN Lyr,1.406,1.739,6745.0,3026.25,287.59272463707,42.45878582218,2014,Timing,
g 192-15 b,,,2.27476,0.0,G 192-15,0.141,0.17,2999.0,9.531,90.621625,49.86561111111112,2025,Radial Velocity,
g 192-15 c,,,1219.0,0.676,G 192-15,0.141,0.17,2999.0,9.531,90.621625,49.86561111111112,2025,Radial Velocity,
g 261-6 b,,,5.4536,0.0,G 261-6,0.125,0.153,2907.0,10.6267,291.0679583333333,75.55327777777778,2025,Radial Velocity,
g 264-012 b,,,2.30538,,G 264-012,0.297,0.305,3326.0,15.986,326.670833347,66.805833354,2021,Radial Velocity,
g 264-012 c,,,8.0518,,G 264-012,0.297,0.305,3326.0,15.986,326.670833347,66.805833354,2021,Radial Velocity,
g 268-110 b,,,1.43263,0.0,G 268-110,0.139,0.177,,9.77,16.224166666666665,-18.12461111111111,2025,Radial Velocity,
g 9-40 b,0.17,0.013,5.7459982,0.0,G 9-40,0.29,0.31,3348.0,27.93,134.718109,21.076048,2019,Primary Transit,
gaia-1 b,1.229,1.68,3.042524,,Gaia-1,0.93,0.962,5370.0,368.3,90.6436666838,-0.5771154808,2021,Primary Transit,
gaia22dkv b,,0.5,,,Gaia22dkv,1.24,,,1350.0,151.770833335,-66.180833348,2023,Microlensing,
gaia-2 b,1.327,0.773,3.6915237,0.346,Gaia-2,1.0,1.064,5720.0,207.2,110.735333173,67.2526599247,2021,Primary Transit,
gaia-4 b,,11.8,571.3,0.338,Gaia-ASOI-047,0.639188,,,,209.506363938819,31.6954922503059,2024,"Astrometry, Radial Velocity",
gaia edr3 2077240046296834304 b,0.81,,4.99671123,,Gaia EDR3 2077240046296834304,0.749,0.72,4410.0,1000.0,295.85950140006594,42.71322149524356,2021,Primary Transit,
galex j0718+3731 b,,3.6,,,GALEX 0718+3731,1.27,0.01,42065.0,85.0,109.56833333333331,37.52755555555556,2024,Other,
gamma lib b,,,415.2,0.25,gamma Lib,1.47,11.1,4822.0,50.2,233.883333344,-14.789444465,2018,Radial Velocity,
gamma lib c,,,964.6,0.054,gamma Lib,1.47,11.1,4822.0,50.2,233.883333344,-14.789444465,2018,Radial Velocity,
gam psc b,,,555.1,0.2,gam Psc,,,,,349.29166667,3.28222224,2021,Radial Velocity,
gj 1002 b,,,10.3465,,GJ 1002,,,,4.846,1.679166681,-7.53805557,2022,Radial Velocity,
gj 1002 c,,,20.202,,GJ 1002,,,,4.846,1.679166681,-7.53805557,2022,Radial Velocity,
gj 1018 b,0.1356,0.00843,7.397225,,GJ 1018,0.427,0.428,3433.0,22.075,10.570833339,-36.718055571,2023,Primary Transit,
gj 1061 b,,,3.204,0.31,GJ 1061,0.12,0.156,2953.0,3.6732,54.0,-44.512777798,2019,Radial Velocity,
gj 1061 c,,,6.689,0.29,GJ 1061,0.12,0.156,2953.0,3.6732,54.0,-44.512777798,2019,Radial Velocity,
gj 1061 d,,,12.434,0.54,GJ 1061,0.12,0.156,2953.0,3.6732,54.0,-44.512777798,2019,Radial Velocity,
gj 1132 b,0.1035,0.00522,1.628931,0.0,GJ 1132,0.181,0.207,3270.0,12.04,153.716666684,-47.156666675,2015,Primary Transit,
gj 1132 c,,,8.929,0.27,GJ 1132,0.181,0.207,3270.0,12.04,153.716666684,-47.156666675,2018,Radial Velocity,
gj 1151 c,,,389.7,,GJ 1151,0.1639,0.1781,3280.0,8.0426,177.741666686,48.377500016,2023,Radial Velocity,
gj 1214 b,0.24463,0.02571,1.580404497,0.27,GJ 1214,0.15,0.216,3026.0,13.0,258.8291667,4.9638889,2009,Primary Transit,
gj 1252 b,0.1053,0.00415,0.5182349,,GJ 1252,0.381,0.391,3458.0,20.38,306.925000014,-56.456944459,2018,Primary Transit,
gj 1265 b,,,3.6511,0.04,GJ 1265,0.178,0.192,3236.0,10.255,333.429166681,-17.685555571,2018,Radial Velocity,
gj 1289 b,,,111.74,0.0,GJ 1289,0.21,0.245,3175.0,8.86,355.77629932198,36.536982583989165,2024,Radial Velocity,
gj 143 b,0.2329,0.0714,35.61253,0.188,GJ 143,0.76,0.73,4640.0,16.33,51.745833353,-63.499166689,2018,Primary Transit,
gj 143 c,0.07958,0.01164,7.78993,,GJ 143,0.76,0.73,4640.0,16.33,51.745833353,-63.499166689,2018,Primary Transit,
gj 15 ab,,0.017,11.4407,0.094,GJ 15 A,0.375,0.3863,3567.0,3.587,4.59535550763,44.0229522831,2014,Radial Velocity,
gj 15 ac,,,7555.0,0.27,GJ 15 A,0.375,0.3863,3567.0,3.587,4.59535550763,44.0229522831,2018,Radial Velocity,
gj 160.2 b,,,9.7471,0.02,GJ 160.2,0.69,,4347.0,,61.6451726813197,-20.853118328223,2014,Radial Velocity,
gj 163 b,,,8.6312,0.02,GJ 163,0.4,,,15.0,62.3167,-53.3736,2012,Radial Velocity,
gj 163 c,,,25.637,0.03,GJ 163,0.4,,,15.0,62.3167,-53.3736,2012,Radial Velocity,
gj 163 d,,,604.0,0.02,GJ 163,0.4,,,15.0,62.3167,-53.3736,2013,Radial Velocity,
gj 176 b,,,8.7748,0.08,GJ 176,0.49,0.53,,9.42,70.7333333,18.9580556,2007,Radial Velocity,
