pl_name,radius,mass,orbital_period,eccentricity,star_name,star_mass,star_radius,star_teff,star_distance,ra,dec,discovered,detection_type,eq_temperature
tic 51629874 b,,,6.46521,0.04652,TIC 51629874,1.12,1.596,6044.0,781.19,245.195,-9.402994444444444,2025,Timing,
tic 62895484 b,0.31172,,2.8399,,TIC 62895484,0.98,0.874,5575.0,294.86,116.63854166666668,22.59036111111111,2026,Primary Transit,
tic 65612701 b,0.4702,,10.181,,TIC 65612701,1.06,1.737,5861.0,151.624,310.47383333333335,36.33882777777778,2025,Primary Transit,
tic 65910228 b,1.09,4.55,180.52414,0.25,TIC 65910228,1.46,1.88,6310.0,265.0,108.71466666666667,-29.43053055555556,2026,Primary Transit,
tic 67686059 b,0.23116,,3.5216,,TIC 67686059,0.86,0.82,5102.0,249.2,19.88433333333333,-35.293013888888886,2026,Primary Transit,
tic 77319217 b,0.27737,,7.5483,,TIC 77319217,1.16,1.18,6126.0,267.62,71.04070833333333,-39.89760277777778,2026,Primary Transit,
tic 77552382 b,0.50781,,3.5103,,TIC 77552382,0.83,0.887,5002.0,373.415,152.513375,-4.903525,2026,Primary Transit,
tic 86380416 b,0.21519,,6.0409,,TIC 86380416,1.07,0.989,5889.0,244.7,145.160375,65.73279444444444,2026,Primary Transit,
tic 88692598 b,0.16175,,2.6491,,TIC 88692598,0.529,0.532,3615.0,73.526,149.21091666666666,47.77066944444445,2026,Primary Transit,
tic 88785435 b,0.4488,,10.508843,0.13,TIC 88785435,0.724,0.911,3998.0,122.08,224.283875,-30.880027777777777,2025,Primary Transit,
toi-1001 ab,0.6316,,1.932993,,TOI-1001 A,1.565,2.0,7070.0,295.862,122.58045833333333,-5.513852777777778,2026,Primary Transit,
toi-1007 b,1.2062,,6.998899,,TOI-1007,1.376,2.7,6596.0,283.291,112.752375,-4.463358333333333,2026,Primary Transit,
toi-1011 b,0.1294,0.01271,2.470498,0.0,TOI-1011,0.91,0.92,5475.0,52.62,113.98401684549,-32.84141896235,2024,Primary Transit,
toi-1019 b,2.0894,,5.227922,,TOI-1019,1.79,1.562,7645.0,399.544,120.148,-54.87855277777778,2026,Primary Transit,
toi-1032 ab,1.4176,,5.659265,,TOI-1032 A,2.68,2.338,10395.0,587.196,159.2215,-42.54163888888889,2026,Primary Transit,
toi-1036 ab,0.58,,3.78031,,TOI-1036 A,1.03,1.175,5771.0,184.015,157.86704761226,-42.24020062352,2019,Primary Transit,
toi-1052 ab,0.256,0.0532,9.139703,0.18,TOI-1052 A,1.204,1.264,6146.0,128.7,337.510239,-75.6466,2023,Primary Transit,
toi-1052 ac,,,35.806,0.237,TOI-1052 A,1.204,1.264,6146.0,128.7,337.510239,-75.6466,2023,Radial Velocity,
toi-1062 b,0.20198,0.032,4.11412,0.179,TOI-1062,0.94,0.84,5328.0,82.2,38.120833343,-78.023611117,2021,Primary Transit,
toi-1062 c,,,,0.137,TOI-1062,0.94,0.84,5328.0,82.2,38.120833343,-78.023611117,2021,Radial Velocity,
toi-1064 b,0.2308,0.0425,6.443868,0.047,TOI-1064,0.748,0.726,4734.0,68.81,296.004166667,-47.561666687,2022,Primary Transit,
toi-1064 c,0.23651,0.0079,12.226574,0.088,TOI-1064,0.748,0.726,4734.0,68.81,296.004166667,-47.561666687,2022,Primary Transit,
toi-1075 b,0.15978,0.03131,0.6047328,,TOI-1075,0.6,0.58,3921.0,61.5,309.970833351,-65.449444466,2022,Primary Transit,
toi-1080 b,0.107,,,,TOI-1080,0.167,0.2,3065.0,25.56,276.36833333333334,-52.21457222222222,2026,Primary Transit,
toi-1097 b,0.25765,,9.188526,0.18,TOI-1097,1.08,1.0,5881.0,79.56,189.775832,-74.574021,2022,Primary Transit,
toi-1097 c,0.2311,,13.900148,0.3,TOI-1097,1.08,1.0,5881.0,79.56,189.775832,-74.574021,2022,Primary Transit,
toi-1098 ab,0.285,,10.18271,0.2,TOI-1098 A,1.21,1.19,6200.0,105.1,192.595833341,-88.121111117,2021,Primary Transit,
toi-1105 b,0.25935,,10.8680523,,TOI-1105,0.74,0.756,4664.0,79.52,146.05395833333333,-89.4715138888889,2019,Primary Transit,
toi-1107 b,1.3,3.35,4.0782387,0.025,TOI-1107,1.35,1.81,6311.0,283.61,155.608333342,-82.218888895,2022,Primary Transit,
toi-1117 b,0.2195,0.028,2.22816,0.0,TOI-1117,0.97,1.05,5635.0,167.598,273.60204166666665,-66.419975,2024,Primary Transit,
toi-1117 c,,,4.579,0.0,TOI-1117,0.97,1.05,5635.0,167.598,273.60204166666665,-66.419975,2024,Radial Velocity,
toi-1117 d,,,8.665,0.0,TOI-1117,0.97,1.05,5635.0,167.598,273.60204166666665,-66.419975,2024,Radial Velocity,
toi-1130 b,0.3265,0.0623,4.074554,0.05216,TOI-1130,0.684,0.687,4250.0,58.26,286.37600001008,-41.43763612322,2020,Primary Transit,
toi-1130 c,1.16,1.057,8.3501898,0.0398,TOI-1130,0.684,0.687,4250.0,58.26,286.37600001008,-41.43763612322,2020,Primary Transit,
toi-1135 b,0.8,0.06428,8.027729,0.07,TOI-1135,1.125,1.16,6122.0,113.92,193.39625,85.1295,2024,Primary Transit,
toi-1136 b,0.17,0.011,4.17278,0.027,TOI-1136,1.022,0.968,5770.0,84.536,192.183333348,64.855277799,2022,Primary Transit,
toi-1136 c,0.25685,0.01988,6.2574,0.11,TOI-1136,1.022,0.968,5770.0,84.536,192.183333348,64.855277799,2022,Primary Transit,
toi-1136 d,0.4128,0.02627,12.5199,0.042,TOI-1136,1.022,0.968,5770.0,84.536,192.183333348,64.855277799,2022,Primary Transit,
toi-1136 e,0.23544,0.0191,18.802,0.055,TOI-1136,1.022,0.968,5770.0,84.536,192.183333348,64.855277799,2022,Primary Transit,
toi-1136 f,0.3462,0.02586,26.3213,0.003,TOI-1136,1.022,0.968,5770.0,84.536,192.183333348,64.855277799,2022,Primary Transit,
toi-1136 g,0.2257,0.038,39.544,0.04,TOI-1136,1.022,0.968,5770.0,84.536,192.183333348,64.855277799,2022,Primary Transit,
toi-1173 ab,0.723,0.0821,7.06387,0.03,TOI-1173 A,0.91,0.93,5350.0,132.35,197.68308333333331,70.76801111111111,2024,Primary Transit,
toi-1174 b,0.2105,0.101,8.953458,0.0,TOI-1174,0.85,0.76,5077.0,94.64,209.2170833333333,68.61827777777778,2024,Primary Transit,
toi-1180 b,,0.031,9.686753,0.0,TOI-1180,0.75,0.727,4700.0,72.024,219.55541666666667,82.19375,2024,Primary Transit,
toi-1181 b,1.3,1.18,2.103195,,TOI-1181,1.38,1.9,6260.0,,297.216666684,64.354444455,2022,Primary Transit,
toi-1184 b,0.215,0.0214,5.748432,0.0,TOI-1184,0.71,0.69,4534.0,58.59,272.20416666666665,60.678777777777775,2024,Primary Transit,
toi-1194 b,0.767,0.456,2.310644,0.076,TOI-1194,1.0,0.963,5340.0,148.5,167.820833339,69.964722253,2023,Primary Transit,
toi-1199 b,0.938,0.239,3.671463,0.03,TOI-1199,1.23,1.45,5710.0,247.0,166.880625,61.35256666666667,2024,Primary Transit,
toi-1201 ab,0.21545,0.01976,2.4919863,0.0,TOI-1201 A,0.512,0.508,3476.0,37.636,42.245833353,-14.537777792,2021,Primary Transit,
toi-1203 ab,0.1356,0.01104,4.1572888,0.067,TOI-1203 A,0.886,1.179,5737.0,64.96,168.22520833333334,-34.40675,2025,Primary Transit,
toi-1203 ac,,,13.0766,0.092,TOI-1203 A,0.886,1.179,5737.0,64.96,168.22520833333334,-34.40675,2025,Radial Velocity,
toi-1203 ad,0.26033,0.02325,25.502672,0.032,TOI-1203 A,0.886,1.179,5737.0,64.96,168.22520833333334,-34.40675,2025,Primary Transit,
toi-1203 ae,,,204.59,0.152,TOI-1203 A,0.886,1.179,5737.0,64.96,168.22520833333334,-34.40675,2025,Radial Velocity,
toi-1221 b,0.2596,3.5,91.68278,0.21,TOI-1221,1.03,0.993,5700.0,,107.920833347,-65.508888906,2022,Primary Transit,
toi-1224 b,0.187,,4.1782745,,TOI-1224,0.4,0.404,3326.0,37.28,37.1979766240281,-80.8991015322092,2024,Primary Transit,
toi-1224 c,0.2569,,17.945466,0.0,TOI-1224,0.4,0.404,3326.0,37.28,37.1979766240281,-80.8991015322092,2024,Primary Transit,
toi-1226 b,0.2079,,3.92878505676442,,TOI-1226,1.01,0.987,5668.0,257.93,103.75483333333332,-69.86713055555556,2019,Primary Transit,
toi-1227 bb,0.854,,27.36397,,TOI-1227 B,0.17,0.56,3072.0,100.96,186.767344,-72.451852,2021,Radial Velocity,
toi-122 b,0.2427,0.0277,5.0780375,,TOI-122,0.312,0.334,3403.0,62.23,332.945833349,-58.945000028,2020,Primary Transit,
toi-1230 b,0.29,,25.06,,TOI-1230,1.14,1.153,6083.0,143.138,118.12958333333331,-83.82506388888889,2021,Primary Transit,
toi-1231 b,0.3256,0.0485,24.245586,0.087,TOI-1231,0.485,0.476,3562.0,27.4932,156.745833353,-52.467777788,2021,Primary Transit,
toi-1232 b,0.975,0.964,14.256,0.065,TOI-1232,1.05,1.096,5818.0,328.6,116.50141666666669,-61.87990555555555,2026,Primary Transit,
toi-1232 c,,0.18,30.356,0.003,TOI-1232,1.05,1.096,5818.0,328.6,116.50141666666669,-61.87990555555555,2026,TTV,
toi-1235 b,0.15113,0.0186,3.444717,,TOI-1235,0.63,0.619,3997.0,39.68,152.216666684,69.27666668,2020,Primary Transit,
toi-1238 b,0.1079,0.01183,0.764597,0.25,TOI-1238,0.59,0.58,4089.0,70.6424,201.383333344,68.83611113,2021,Primary Transit,
toi-1238 c,0.1882,0.02618,3.294736,0.15,TOI-1238,0.59,0.58,4089.0,70.6424,201.383333344,68.83611113,2021,Primary Transit,
toi-1243 b,0.2079,0.0242,4.6594779,,TOI-1243,0.515,0.511,3515.0,43.126,135.73258333333334,71.63647222222222,2026,Primary Transit,
toi-1244 b,0.2025,0.0208,6.4003,0.0,TOI-1244,0.73,0.72,4600.0,102.55,256.2791666666667,69.51908333333333,2024,Primary Transit,
toi-1246 ab,0.2685,0.0255,4.30744,,TOI-1246 A,0.87,0.86,5141.0,170.7,251.116666676,70.430000019,2022,Primary Transit,
toi-1246 ac,0.2239,0.0277,5.904144,,TOI-1246 A,0.87,0.86,5141.0,170.7,251.116666676,70.430000019,2022,Primary Transit,
toi-1246 ad,0.3131,0.0167,18.6559,,TOI-1246 A,0.87,0.86,5141.0,170.7,251.116666676,70.430000019,2022,Primary Transit,
toi-1246 ae,0.3372,0.0466,37.9216,,TOI-1246 A,0.87,0.86,5141.0,170.7,251.116666676,70.430000019,2022,Primary Transit,
toi-1247 b,0.2239,0.0179,15.92346,0.42,TOI-1247,1.02,1.076,5712.0,73.8713,227.866666676,71.841111134,2019,Primary Transit,
toi-1248 ab,0.607,0.0862,4.3601561,0.0,TOI-1248 A,0.89,0.87,5227.0,168.735,259.0233333333333,63.105583333333335,2024,Primary Transit,
toi-1249 b,0.2899,0.0374,13.079151,0.0,TOI-1249,0.95,1.0,5453.0,139.49,200.56125,68.30852777777778,2024,Primary Transit,
toi-1259 ab,1.035,0.415,3.4779792,0.0,TOI-1259 A,0.744,0.711,4775.0,118.1,282.100000008,79.256111121,2021,Primary Transit,
