pl_name,radius,mass,orbital_period,eccentricity,star_name,star_mass,star_radius,star_teff,star_distance,ra,dec,discovered,detection_type,eq_temperature,star_spectype
corot-24 b,3.7,5.7,5.1134,0.0,CoRoT-24,0.91,0.86,4950.0,591.555,101.922543,-3.7192892,2014.0,Transit,1070.0,K1 V
corot-24 c,5.0,28.0,11.759,0.0,CoRoT-24,0.91,0.86,4950.0,591.555,101.922543,-3.7192892,2014.0,Transit,850.0,K1 V
corot-28 b,10.704595,152.87623,5.20851,0.071,CoRoT-28,1.01,1.78,5150.0,766.183,278.6883216,5.5736911,2015.0,Transit,,K
corot-29 b,10.0881,270.1555,2.85057,0.082,CoRoT-29,0.97,0.9,5260.0,806.507,278.9020691,6.4795703,2015.0,Transit,,K0 V
corot-7 b,,4.8,0.853585,0.0,CoRoT-7,0.899,0.864273,5256.0,159.906,100.9561682,-1.0630076,2009.0,Transit,,K
epic 201757695.02,0.90819,,2.0478,0.0,EPIC 201757695,0.727,0.655,4520.0,,173.9385102,4.6164303,2020.0,Transit,,K
epic 206042996 b,1.7,,5.2986,,EPIC 206042996,,0.5,4114.0,451.769,337.5136198,-13.6101475,2019.0,Transit,,K
epic 206042996 c,1.2,,0.354884,,EPIC 206042996,,0.5,4114.0,451.769,337.5136198,-13.6101475,2021.0,Transit,,K
epic 206317286 c,2.63,,17.501662,,EPIC 206317286,,0.73,4749.0,314.35,337.6178427,-7.972456,2022.0,Transit,,K
epic 212297394 b,1.48,,2.289363,,EPIC 212297394,0.83,0.8,5171.0,418.395,207.2061241,-17.6098985,2019.0,Transit,1149.0,K
epic 212297394 c,2.27,,5.213965,,EPIC 212297394,0.83,0.8,5171.0,418.395,207.2061241,-17.6098985,2021.0,Transit,866.0,K
epic 212737443 b,,,13.60697954,,EPIC 212737443,0.724,0.669035,4581.0,336.25,204.2215065,-7.3180577,2019.0,Transit,,K
epic 212737443 c,2.69,,65.55,0.2,EPIC 212737443,0.69,0.673,4684.0,336.25,204.2215065,-7.3180577,2019.0,Transit,316.0,K3
epic 248847494 b,12.44199,4131.79,3650.0,0.0,EPIC 248847494,0.9,2.7,4898.0,551.886,159.3890808,11.8427484,2018.0,Transit,183.0,K
gj 1137 c,,5.12,9.6412,0.0,HD 93083,0.836,0.837,5033.8,28.5159,161.0866672,-33.5776794,2026.0,Radial Velocity,,K2 IV-V
gj 414 a b,,10.23407471,51.625,0.28,GJ 414 A,0.694721,0.669922,4205.93,11.8893,167.7745044,30.4451688,2021.0,Radial Velocity,,K
gj 414 a c,8.4,53.83,749.83,0.105,GJ 414 A,0.65,0.68,4120.0,11.8893,167.7745044,30.4451688,2021.0,Radial Velocity,124.7,K7 V
gj 86 b,,1242.66,15.76491,0.0416,GJ 86,0.77,,5151.0,10.7836,32.6224785,-50.8209945,1999.0,Radial Velocity,,K
gj 900 b,,3496.112477,,,GJ 900 A,1.08,,,20.8065,353.7526177,1.6055211,2024.0,Imaging,,K7
gj 9827 b,1.571,4.89,1.209,,GJ 9827,0.606,0.5994,4255.0,29.661,351.7717763,-1.2853435,2017.0,Transit,,K
gj 9827 c,1.24,1.45,3.64823,,GJ 9827,0.637,0.622,4219.0,29.661,351.7717763,-1.2853435,2017.0,Transit,771.0,K6 V
gj 9827 d,1.98,3.02,6.20183,,GJ 9827,0.62,0.58,4236.0,29.661,351.7717763,-1.2853435,2017.0,Transit,675.0,K7 V
gq lup b,33.6,6356.0,,,GQ Lup,0.7,,,151.169,237.3003643,-35.6515055,2004.0,Imaging,2650.0,K7e V
gsc 06214-00210 b,20.1762,4767.45,,,GSC 06214-00210,0.694,0.90484,4432.0,108.5,245.4776921,-20.7193398,2010.0,Imaging,2200.0,K
gaia-4 b,,3750.3752026,571.3,0.338,Gaia-4,0.644,0.624,4034.0,73.4829,209.5063762,31.6954898,2025.0,Astrometry,,K
hat-p-11 b,4.73,25.743,4.8878162,0.198,HAT-P-11,0.81,0.75,4780.0,37.7647,297.7101763,48.0818635,2008.0,Transit,878.0,K4
hat-p-12 b,11.0975,,3.2130578,,HAT-P-12,,0.7,4652.87,142.751,209.3886452,43.49331,2009.0,Transit,918.0,K
hat-p-17 c,,915.3504,3972.0,0.295,HAT-P-17,0.857,0.837,5246.0,92.3831,324.5359781,30.4881882,2010.0,Radial Velocity,,K
hat-p-18 b,10.614923,62.29468,5.507978,0.009,HAT-P-18,0.77,0.717,4870.0,161.4,256.346376,33.0123251,2010.0,Transit,841.0,K
hat-p-19 b,,,4.00878423,0.07,HAT-P-19,0.842,0.82,4990.0,202.078,9.5165832,34.7114025,2010.0,Transit,,K1
hat-p-20 b,9.718,2302.899,2.875317,0.015,HAT-P-20,0.756,0.694,4595.0,71.0374,111.9164295,24.3361185,2010.0,Transit,970.0,K3
hat-p-3 b,10.211399,189.10885,2.89973838,,HAT-P-3,0.925,0.85,5190.0,134.554,206.0940142,48.028565,2007.0,Transit,1170.0,K
hat-p-38 b,,,4.6403293,,HAT-P-38,0.881,1.00936,5191.0,255.206,35.3834942,32.2460441,2012.0,Transit,,K
hat-p-44 b,13.922,111.871,4.301219,0.044,HAT-P-44,0.942,0.949,5295.0,347.85,213.1438604,47.0147826,2014.0,Transit,1108.0,K
hat-p-44 c,,1271.3,872.2,0.494,HAT-P-44,0.942,0.949,5295.0,347.85,213.1438604,47.0147826,2014.0,Radial Velocity,,K
hat-p-52 b,,,2.7535976,,HAT-P-52,0.887,0.893,5131.0,361.155,42.7217412,29.0222492,2015.0,Transit,,K
hat-p-54 b,,,3.7998534,,HAT-P-54,0.645,0.617,4390.0,143.651,99.8979924,25.4824005,2015.0,Transit,,K
