pl_name,radius,mass,orbital_period,eccentricity,star_name,star_mass,star_radius,star_teff,star_distance,ra,dec,discovered,detection_type,eq_temperature,star_spectype
kepler-508 b,1.77,,25.30893566,0.0,Kepler-508,1.14,1.292,5949.0,324.618,295.4042546,42.9812789,2016.0,Transit,710.0,G
kepler-509 b,,,41.74598855,,Kepler-509,1.096,1.22162,5971.55,332.443,289.664394,48.706165,2016.0,Transit,,G
kepler-51 b,6.657,,45.15530074,,Kepler-51,0.929,0.82,5674.0,783.831,296.4797624,49.9376486,2012.0,Transit,,G
kepler-51 e,,3.8,256.86,0.08,Kepler-51,0.96,0.87,5674.0,783.831,296.4797624,49.9376486,2024.0,Transit Timing Variations,,G
kepler-510 b,,,19.5565343936,,Kepler-510,1.0,1.53514,5641.07,386.177,287.6550196,39.2441716,2016.0,Transit,,G
kepler-511 c,3.13,,26.62941953,0.0,Kepler-511,0.958,1.417,5866.0,651.999,282.9455384,47.5749181,2021.0,Transit,742.0,G
kepler-513 b,2.274,,28.86235584,,Kepler-513,0.9,1.079,5748.0,468.258,285.0416235,50.0753913,2016.0,Transit,,G
kepler-514 b,,,5.65178735,,Kepler-514,1.11,1.38938,5998.99,455.336,286.2471739,50.2423694,2016.0,Transit,,G
kepler-517 b,,,60.92818866,,Kepler-517,0.991,1.0384,5604.05,289.907,293.6755138,41.2952061,2016.0,Transit,,G
kepler-518 b,2.11,,8.512035877,,Kepler-518,0.96,0.88,5842.0,337.901,287.090019,41.3737576,2016.0,Transit,,G
kepler-519 b,2.14,,24.30784323,0.0,Kepler-519,0.913,0.82,5313.0,246.61,299.3196708,41.3847447,2016.0,Transit,532.0,G
kepler-523 b,1.93,,5.835983111,0.0,Kepler-523,0.937,0.836,5509.0,253.295,284.0611224,45.5068127,2016.0,Transit,892.0,G
kepler-524 b,2.756,,,,Kepler-524,,1.614,5838.0,1058.24,296.8591787,49.1620125,2016.0,Transit,,G
kepler-524 c,0.83,,1.88899036,0.0,Kepler-524,1.036,1.081,5973.0,1058.24,296.8591787,49.1620125,2016.0,Transit,1574.0,G
kepler-525 b,4.564,,18.68404933,,Kepler-525,1.136,1.992,5506.0,992.852,296.1834239,47.3587776,2016.0,Transit,,G
kepler-526 b,1.91,,5.45849914,0.0,Kepler-526,1.172,1.135,5914.0,666.146,297.6509281,47.3962246,2016.0,Transit,1099.0,G
kepler-528 b,,,19.7830259,,Kepler-528,0.99,1.28083,5585.22,784.23,295.6848595,47.7480914,2016.0,Transit,,G
kepler-53 d,2.76,,9.75192101,0.0,Kepler-53,1.026,1.053,5775.0,1366.07,290.4617926,40.5624966,2014.0,Transit,870.0,G
kepler-530 b,3.58,,39.30941904,0.0,Kepler-530,0.901,1.051,5957.0,457.709,283.3402948,48.549062,2016.0,Transit,576.0,G
kepler-534 b,,,15.95995611,,Kepler-534,1.08,1.12377,5927.0,570.659,296.4185696,49.540148,2016.0,Transit,,G
kepler-534 c,1.06,,7.37862283,0.0,Kepler-534,1.075,0.965,5936.0,570.659,296.4185696,49.540148,2021.0,Transit,932.0,G
kepler-536 b,5.73,,1.8270813,0.0,Kepler-536,0.916,1.6,5364.0,462.322,297.7363605,49.637101,2016.0,Transit,1791.0,G
kepler-537 b,1.34,,3.247555219,0.0,Kepler-537,1.018,0.937,5726.0,439.4,289.8805804,51.2769907,2016.0,Transit,1176.0,G
kepler-538 b,2.26,,81.73780699,,Kepler-538,0.96,0.9,5650.0,155.956,297.4865503,49.6233975,2016.0,Transit,,G
kepler-539 b,8.149,,125.62887621,,Kepler-539,0.987,0.913,5816.0,307.318,299.1224639,41.8667953,2016.0,Transit,,G
kepler-539 c,,762.792,1000.0,0.5,Kepler-539,1.048,0.952,5820.0,307.318,299.1224639,41.8667953,2016.0,Transit Timing Variations,253.0,G2 V
kepler-540 b,,,172.7046083,,Kepler-540,1.04,1.25142,5811.26,390.374,290.6249953,44.8737757,2016.0,Transit,,G
kepler-542 b,,,13.14496978,,Kepler-542,0.933,1.00034,5380.12,436.016,292.2149697,38.5485469,2016.0,Transit,,G
kepler-545 b,2.86,,13.24931848,0.0,Kepler-545,0.972,1.078,5799.0,818.001,290.5663221,40.6920756,2016.0,Transit,806.0,G
kepler-546 b,,,4.14701989,,Kepler-546,1.01,1.40314,5694.0,1019.65,283.257573,40.9904095,2016.0,Transit,,G
kepler-548 b,11.428,,,,Kepler-548,,0.889,5349.0,751.776,299.9059167,45.4396103,2016.0,Transit,,G
kepler-549 b,2.501,,,,Kepler-549,,0.828,5333.0,635.145,283.0228527,47.2611431,2016.0,Transit,,G
kepler-549 c,2.68,,117.033521,0.0,Kepler-549,0.859,0.986,5312.0,635.145,283.0228527,47.2611431,2016.0,Transit,349.0,G
kepler-549 d,4.2,,24.61480613,0.0,Kepler-549,0.859,0.986,5312.0,635.145,283.0228527,47.2611431,2023.0,Transit,586.0,G
kepler-554 b,3.6,,1.90221,0.0,Kepler-554,0.86,0.76,5363.0,690.525,296.4068982,51.3581938,2016.0,Transit,1209.0,G
kepler-555 b,2.83,,16.21775407,,Kepler-555,1.03,1.04,5894.0,973.121,285.516872,38.9324587,2016.0,Transit,,G
kepler-556 b,2.013,,,,Kepler-556,,0.922,5641.0,674.598,290.5294799,38.9427306,2016.0,Transit,,G
kepler-557 b,2.55,,3.70597,0.0,Kepler-557,1.09,1.08,5935.0,2097.12,293.7084179,41.6151084,2016.0,Transit,1242.0,G
kepler-559 b,3.7,,17.587568,0.0,Kepler-559,0.84,0.98,5517.0,776.708,296.6368878,43.8027948,2016.0,Transit,683.0,G
kepler-561 b,6.527,,58.3620495,,Kepler-561,0.98,0.884,5479.0,621.378,293.7471107,45.1071981,2016.0,Transit,,G
kepler-561 c,,,5.35016878,,Kepler-561,0.94,0.925904,5408.89,621.378,293.7471107,45.1071981,2016.0,Transit,,G
kepler-562 b,5.21,,18.009314436,,Kepler-562,0.93,0.9,5575.0,992.769,290.1196007,46.2737393,2016.0,Transit,,G
kepler-564 b,4.74,,3.750832285,0.0,Kepler-564,1.068,0.95,5776.0,863.037,296.8383661,46.6263912,2016.0,Transit,1129.0,G
kepler-565 b,3.22,,4.243747226,0.0,Kepler-565,0.926,0.84,5876.0,,283.6180825,47.1967793,2016.0,Transit,1061.0,G
kepler-569 b,3.16,,34.18890521,,Kepler-569,0.95,0.93,5616.0,638.301,283.507219,48.552633,2016.0,Transit,,G
kepler-570 b,,,4.30165843,,Kepler-570,0.93,0.823456,5363.89,568.148,290.4376111,48.7918597,2016.0,Transit,,G
kepler-571 b,2.517,,,,Kepler-571,,0.849,5637.0,723.875,286.5510448,49.418731,2016.0,Transit,,G
kepler-573 b,2.44,,22.18339,0.0,Kepler-573,1.009,0.9,5911.0,771.471,289.5211955,51.2374057,2016.0,Transit,629.0,G
kepler-574 b,2.25,,7.65880414,0.0,Kepler-574,0.858,0.855,5657.0,682.896,290.2470519,52.1491051,2016.0,Transit,858.0,G
kepler-575 b,,,9.3788428215,,Kepler-575,0.98,0.983912,5545.0,853.977,286.9638856,37.8296147,2016.0,Transit,,G
kepler-576 b,3.0,,29.9115,0.0,Kepler-576,0.83,0.95,5447.0,617.55,295.1828896,38.6542028,2016.0,Transit,555.0,G
kepler-578 b,2.54,,1.616883696,0.0,Kepler-578,0.877,1.066,5417.0,541.432,288.7549882,39.563696,2016.0,Transit,1536.0,G
kepler-58 b,,,10.21864532,,Kepler-58,1.02,1.01795,5707.0,969.252,296.3586251,39.1152033,2012.0,Transit,,G
kepler-58 c,2.674,,,,Kepler-58,,0.986,5776.0,969.252,296.3586251,39.1152033,2012.0,Transit,,G
kepler-58 d,2.95,,40.1014272,,Kepler-58,1.024,0.965,5776.0,969.252,296.3586251,39.1152033,2014.0,Transit,,G
kepler-581 b,2.67,,40.606895,0.0,Kepler-581,0.93,1.027,5538.0,703.758,295.4326552,40.6481874,2016.0,Transit,521.0,G
