pl_name,radius,mass,orbital_period,eccentricity,star_name,star_mass,star_radius,star_teff,star_distance,ra,dec,discovered,detection_type,eq_temperature,star_spectype
toi-2084 b,2.47,,6.0784247,,TOI-2084,0.453,0.475,3551.0,114.549,259.2545389,72.7470231,2023.0,Transit,527.0,M2+/-0.5
toi-2094 b,1.71512709,,18.79317491879,,TOI-2094,,0.376775,3457.0,50.0248,254.1425333,70.0273157,2026.0,Transit,297.7,M
toi-2095 b,1.29848587,,17.66486600198,,TOI-2095,,0.463205,3746.0,41.9176,285.6365235,75.4185135,2023.0,Transit,351.27,M
toi-2095 c,1.39,,28.1722,0.13,TOI-2095,0.465,0.453,3662.0,41.9176,285.6365235,75.4185135,2023.0,Transit,,M0.5-1.0 V
toi-2096 b,1.62297957,,3.11907156164,,TOI-2096,,0.247331,3285.0,48.4809,151.6186989,74.8272107,2023.0,Transit,454.5,M
toi-2096 c,1.914,,6.38784,0.1,TOI-2096,0.231,0.235,3300.0,48.4809,151.6186989,74.8272107,2023.0,Transit,349.0,M4
toi-2120 b,2.122,6.8,5.7998164,0.32,TOI-2120,0.211,0.245,3131.0,32.1755,23.507315,65.5139877,2024.0,Transit,384.0,M
toi-2136 b,2.09,15.0,7.85191,0.0,TOI-2136,0.34,0.335,3366.0,33.3631,281.1763433,36.5631318,2022.0,Transit,403.0,M
toi-2257 b,2.22536959,,35.18964443753,,TOI-2257,,0.326932,3446.0,57.7911,194.7396141,77.6617157,2021.0,Transit,230.78,M
toi-2266 b,1.97631873,,2.32634296639,,TOI-2266,,0.261162,3244.0,51.6004,245.2800398,31.5770413,2024.0,Transit,502.93,M
toi-2267 b,0.91314038,,2.28910266827,,TOI-2267 A,,0.242745,3022.0,,65.0614963,84.9008238,2025.0,Transit,460.97,M
toi-2267 c,1.14,,3.4950412,,TOI-2267 A,0.171,0.2075,3030.0,,65.0614963,84.9008238,2025.0,Transit,374.0,M5 V
toi-2267 d,0.90110603,,2.03443663363,,TOI-2267 B,,0.242745,3022.0,,65.0615,84.900825,2025.0,Transit,479.45,M
toi-2285 b,1.74,19.5,27.26955,0.3,TOI-2285,0.454,0.464,3491.0,42.409,332.5632644,58.7060934,2021.0,Transit,284.0,M
