pl_name,radius,mass,orbital_period,eccentricity,star_name,star_mass,star_radius,star_teff,star_distance,ra,dec,discovered,detection_type,eq_temperature,star_spectype,star_metallicity,star_gaia_magnitude
kmt-2020-blg-0414l c,,4894.5574678,,,KMT-2020-BLG-0414L,0.259,,,800.0,271.915,-28.4852222,2021.0,Microlensing,,,,
kmt-2021-blg-0119l b,,1802.08706769,,,KMT-2021-BLG-0119L,0.69,,,3690.0,274.0005417,-29.7438889,2022.0,Microlensing,,,,
kmt-2021-blg-0171l b,,11.4,,,KMT-2021-BLG-0171L,0.74,,5200.0,4400.0,269.2416667,-30.0930556,2022.0,Microlensing,,,,
kmt-2021-blg-0192l b,,31.7828407,,,KMT-2021-BLG-0192L,0.27,,,5260.0,268.1049583,-30.0086889,2022.0,Microlensing,,,,
kmt-2021-blg-0240l b,,127.1313628,,,KMT-2021-BLG-0240L,0.47,,,7000.0,267.5772917,-30.0049694,2022.0,Microlensing,,,,
kmt-2021-blg-0320l b,,31.7828407,,,KMT-2021-BLG-0320L,0.32,,,6950.0,269.388125,-30.5039389,2022.0,Microlensing,,,,
kmt-2021-blg-0322l b,,2034.1018048,,,KMT-2021-BLG-0322L,0.62,,,6600.0,270.9116667,-29.6043889,2021.0,Microlensing,,,,
kmt-2021-blg-0712l b,,39.9,,,KMT-2021-BLG-0712L,0.23,,,3200.0,269.2856667,-31.1844694,2023.0,Microlensing,,,,
kmt-2021-blg-0736l b,,21.0,,,KMT-2021-BLG-0736L,0.6,,,7000.0,268.3225833,-29.7124194,2025.0,Microlensing,,,,
kmt-2021-blg-0748l b,,130.30964687,,,KMT-2021-BLG-0748L,0.36,,,6100.0,272.4213333,-25.7465806,2022.0,Microlensing,,,,
kmt-2021-blg-0852l b,,155.73591943,,,KMT-2021-BLG-0852L,0.75,,,7230.0,265.8311667,-33.8918389,2026.0,Microlensing,,,,
kmt-2021-blg-0909l b,,400.46379282,,,KMT-2021-BLG-0909L,0.38,,,6480.0,265.6202083,-27.6391389,2023.0,Microlensing,,,,
kmt-2021-blg-0912l b,,6.92,,,KMT-2021-BLG-0912L,0.75,,,6710.0,269.8211667,-31.9976389,2022.0,Microlensing,,K,,
kmt-2021-blg-1077l b,,69.92224954,,,KMT-2021-BLG-1077L,0.14,,,8240.0,266.489125,-33.8428111,2022.0,Microlensing,,M V,,
kmt-2021-blg-1077l c,,79.45710175,,,KMT-2021-BLG-1077L,0.14,,,8240.0,266.489125,-33.8428111,2022.0,Microlensing,,M V,,
kmt-2021-blg-1105l b,,403.64207689,,,KMT-2021-BLG-1105L,0.61,,,4620.0,265.73225,-25.5089111,2023.0,Microlensing,,,,
kmt-2021-blg-1150l b,,279.68899816,,,KMT-2021-BLG-1150L,0.73,,,3800.0,268.790125,-31.3133306,2023.0,Microlensing,,,,
kmt-2021-blg-1253l b,,19.05,,,KMT-2021-BLG-1253L,0.24,,,6640.0,267.6172083,-29.2792806,2022.0,Microlensing,,,,
kmt-2021-blg-1303l b,,120.77479466,,,KMT-2021-BLG-1303L,0.57,,,6280.0,271.863875,-29.2815806,2022.0,Microlensing,,,,
kmt-2021-blg-1372l b,,61.27,,,KMT-2021-BLG-1372L,0.42,,,5970.0,264.4885417,-28.1483889,2022.0,Microlensing,,,,
kmt-2021-blg-1391l b,,3.52,,,KMT-2021-BLG-1391L,0.23,,,6720.0,270.6835833,-28.0605,2022.0,Microlensing,,,,
kmt-2021-blg-1547l b,,467.20775829,,,KMT-2021-BLG-1547L,0.72,,,5070.0,272.3995833,-29.0839389,2023.0,Microlensing,,,,
kmt-2021-blg-1554l b,,38.13940884,,,KMT-2021-BLG-1554L,0.08,,,7680.0,267.8034167,-31.8643611,2022.0,Microlensing,,,,
kmt-2021-blg-1689l b,,46.0,,,KMT-2021-BLG-1689L,0.58,,4570.0,7200.0,269.5791667,-30.1452778,2022.0,Microlensing,,,,
kmt-2021-blg-1770l b,,6674.396547,,,KMT-2021-BLG-1770L,0.13,,,6920.0,270.4399583,-27.4186694,2023.0,Microlensing,,,,
kmt-2021-blg-1898l b,,251.08444153,,,KMT-2021-BLG-1898L,0.48,,,6900.0,265.691875,-27.3758389,2022.0,Microlensing,,,,
kmt-2021-blg-2010l b,,340.07639549,,,KMT-2021-BLG-2010L,0.37,,,7090.0,268.0085,-32.26975,2023.0,Microlensing,,,,
kmt-2021-blg-2294l b,,22.24798849,,,KMT-2021-BLG-2294L,0.14,,,6800.0,270.0624167,-28.6124389,2022.0,Microlensing,,,,
kmt-2021-blg-2478l b,,286.0455663,,,KMT-2021-BLG-2478L,0.2,,,3060.0,269.3092083,-29.1019694,2023.0,Microlensing,,,,
kmt-2021-blg-2609l b,,10.17050902,,,KMT-2021-BLG-2609L,0.2,,,7480.0,263.518875,-27.5969389,2024.0,Microlensing,,,,
kmt-2022-blg-0303l b,,163.04597279,,,KMT-2022-BLG-0303L,0.368,,,6570.0,268.033125,-22.6890806,2024.0,Microlensing,,,,
kmt-2022-blg-0371l b,,82.63538582,,,KMT-2022-BLG-0371L,0.63,,,7140.0,265.3619167,-34.6986694,2023.0,Microlensing,,,,
kmt-2022-blg-0440l b,,15.4,,,KMT-2022-BLG-0440L,0.53,,,3500.0,269.5835833,-32.2953056,2023.0,Microlensing,,,,
kmt-2022-blg-1013l b,,98.52680617,,,KMT-2022-BLG-1013L,0.18,,,7710.0,264.70925,-28.3556694,2023.0,Microlensing,,,,
kmt-2022-blg-1551l b,,940.77208472,,,KMT-2022-BLG-1551L,0.54,,,6900.0,265.25375,-27.5518806,2026.0,Microlensing,,,,
kmt-2022-blg-1790l b,,549.84314411,,,KMT-2022-BLG-1790L,0.58,,,6480.0,271.05625,-27.03475,2025.0,Microlensing,,,,
kmt-2022-blg-1818l b,,476.7426105,,,KMT-2022-BLG-1818L,0.3,,,2900.0,270.798625,-27.4811111,2026.0,Microlensing,,,,
kmt-2022-blg-1818l c,,111.23994245,,,KMT-2022-BLG-1818L,0.3,,,2900.0,270.798625,-27.4811111,2026.0,Microlensing,,,,
kmt-2022-blg-2076l b,,279.68899816,,,KMT-2022-BLG-2076L,0.67,,,5570.0,268.051125,-29.0279306,2025.0,Microlensing,,,,
kmt-2022-blg-2286l b,,13666.621501,,,KMT-2022-BLG-2286L,0.45,,,6710.0,269.16525,-28.8549194,2024.0,Microlensing,,,,
kmt-2023-blg-0119l b,,83.7,,,KMT-2023-BLG-0119L,0.71,,,5410.0,266.8150417,-34.5721889,2025.0,Microlensing,,K2.5 V,,
kmt-2023-blg-0416l b,,13.34879309,,,KMT-2023-BLG-0416L,0.61,,,6080.0,266.3240417,-25.0794889,2024.0,Microlensing,,,,
kmt-2023-blg-0466l b,,1032.94232275,,,KMT-2023-BLG-0466L,0.44,,,6800.0,270.61,-33.0029694,2026.0,Microlensing,,,,
kmt-2023-blg-0469l b,,39.41072247,,,KMT-2023-BLG-0469L,0.47,,,7070.0,269.4067917,-28.7150611,2024.0,Microlensing,,,,
kmt-2023-blg-0548l b,,162.09248757,,,KMT-2023-BLG-0548L,0.123,,,4320.0,270.347625,-27.10675,2025.0,Microlensing,,,,
kmt-2023-blg-0735l b,,38.77506565,,,KMT-2023-BLG-0735L,0.61,,,6390.0,267.5759583,-29.2029194,2024.0,Microlensing,,,,
kmt-2023-blg-0830l b,,18.75187601,,,KMT-2023-BLG-0830L,0.22,,,7250.0,271.6579583,-28.3323111,2025.0,Microlensing,,,,
kmt-2023-blg-0949l b,,1900.61387386,,,KMT-2023-BLG-0949L,0.48,,,6060.0,263.4194167,-28.0914611,2025.0,Microlensing,,,,
kmt-2023-blg-1431l b,,13.6,,,KMT-2023-BLG-1431L,0.57,,,6800.0,271.1835417,-29.7439194,2024.0,Microlensing,,,,
kmt-2023-blg-1454l b,,200.23189641,,,KMT-2023-BLG-1454L,0.17,,,7220.0,267.6200833,-29.62275,2024.0,Microlensing,,,,
kmt-2023-blg-1642l b,,343.25467956,,,KMT-2023-BLG-1642L,0.17,,,6980.0,261.366,-29.0584694,2024.0,Microlensing,,,,
kmt-2023-blg-1743l b,,6356.56814,,,KMT-2023-BLG-1743L,0.11,,,7130.0,269.16525,-28.8549194,2024.0,Microlensing,,,,
kmt-2023-blg-1866l b,,2.63,,,KMT-2023-BLG-1866L,0.51,,,6210.0,273.48225,-28.4473889,2024.0,Microlensing,,,,
kmt-2023-blg-1896l b,,16.35,,,KMT-2023-BLG-1896L,0.72,,,5490.0,271.03175,-26.9589194,2025.0,Microlensing,,K6 V,,
kmt-2023-blg-2209l b,,254.2627256,,,KMT-2023-BLG-2209L,0.73,,,5570.0,268.9942083,-29.3056694,2025.0,Microlensing,,,,
kmt-2024-blg-0176l b,,241.54958932,,,KMT-2024-BLG-0176L,0.103,,,8340.0,266.5324583,-34.2105806,2026.0,Microlensing,,,,
kmt-2024-blg-0349l b,,3769.44490702,,,KMT-2024-BLG-0349L,0.68,,,5750.0,261.3715417,-30.2470194,2026.0,Microlensing,,,,
kmt-2024-blg-0404l b,,8657.64580668,,,KMT-2024-BLG-0404L,0.09,,,7210.0,271.1470833,-27.9535,2025.0,Microlensing,,M,,
kmt-2024-blg-0404l c,,17.3,,,KMT-2024-BLG-0404L,0.09,,,7210.0,271.1470833,-27.9535,2025.0,Microlensing,,M,,
kmt-2024-blg-1005l b,,6674.396547,,,KMT-2024-BLG-1005L,0.055,,,6950.0,269.8055833,-28.7557806,2025.0,Microlensing,,,,
kmt-2024-blg-1044l b,,13.68,,,KMT-2024-BLG-1044L,0.131,,,6710.0,271.564,-27.5925806,2024.0,Microlensing,,,,
kmt-2024-blg-1209l b,,839.06699448,,,KMT-2024-BLG-1209L,0.77,,,3930.0,261.6129583,-28.1205611,2025.0,Microlensing,,K3 V,,
kmt-2024-blg-1281l b,,19.06970442,,,KMT-2024-BLG-1281L,0.32,,,7180.0,270.169375,-32.71425,2025.0,Microlensing,,,,
kmt-2024-blg-1870l b,,336.89811142,,,KMT-2024-BLG-1870L,0.67,,,5480.0,272.4653333,-26.8828889,2026.0,Microlensing,,,,
kmt-2024-blg-2005l b,,50.85254512,,,KMT-2024-BLG-2005L,0.12,,,7720.0,268.4080833,-28.9009806,2026.0,Microlensing,,,,
kmt-2024-blg-2059l b,,6.99222495,,,KMT-2024-BLG-2059L,0.51,,,6070.0,270.92975,-28.5681889,2025.0,Microlensing,,,,
kmt-2024-blg-2087l b,,1395.26670673,,,KMT-2024-BLG-2087L,0.48,,,7190.0,268.4500417,-29.2631889,2026.0,Microlensing,,,,
kmt-2024-blg-2242l b,,13.98444991,,,KMT-2024-BLG-2242L,0.069,,,7620.0,268.415,-29.5603111,2025.0,Microlensing,,,,
kmt-2025-blg-0121l b,,2469.52672239,,,KMT-2025-BLG-0121L,0.61,,,6200.0,267.158375,-23.9988,2026.0,Microlensing,,,,
kmt-2025-blg-0481l b,,187.51876013,,,KMT-2025-BLG-0481L,0.22,,,7980.0,265.356,-34.37175,2026.0,Microlensing,,,,
kmt-2025-blg-1616l b,,42.32,,,KMT-2025-BLG-1616L,0.26,,,7500.0,267.778875,-30.1391111,2026.0,Microlensing,,M V,,
kobe-1 b,,8.8,8.5399,0.0,KOBE-1,0.629,0.619,4135.0,23.9718,19.1660378,25.3310358,2025.0,Radial Velocity,594.4,K7 V,-0.01,9.47126
kobe-1 c,,12.4,29.671,0.0,KOBE-1,0.629,0.619,4135.0,23.9718,19.1660378,25.3310358,2025.0,Radial Velocity,392.5,K7 V,-0.01,9.47126
koi-12 b,13.4,,17.855149,0.0,KOI-12,1.26,1.4,6635.0,399.398,297.4537402,41.0110188,2015.0,Transit,912.0,,,11.2535
koi-1257 b,,,86.64766384,,KOI-1257,,,,,291.2250888,44.9272918,2014.0,Transit,,,,14.6419
koi-13 b,25.8,,1.763587569,0.0,KOI-13,2.466,3.031,9107.0,519.096,286.9713876,46.8682463,2011.0,Transit,3560.0,,0.07,10.3678
koi-134 b,12.1,,67.5923754,0.0,KOI-134,1.341,1.744,6038.0,1159.21,295.586598,45.3649371,2025.0,Transit,588.0,,0.34,13.6323
koi-134 c,,69.92224954,33.95,0.24,KOI-134,1.407,1.667,6160.0,1159.21,295.586598,45.3649371,2025.0,Transit Timing Variations,,F9V,0.427,13.6323
koi-142 b,3.796,11.3568015,10.91610834,0.0,KOI-142,0.985,,,376.863,291.1481028,40.669413,2013.0,Transit,,,,13.1048
koi-142 c,,214.1,22.26492,0.05724,KOI-142,0.99,0.897,5466.0,376.863,291.1481028,40.669413,2013.0,Transit Timing Variations,,,0.27,13.1048
koi-1599.01,1.9,,20.41724,0.0,KOI-1599,0.94,0.92,5760.0,1131.64,298.3738383,40.6184483,2019.0,Transit,645.0,,,14.854
koi-1599.02,22.29,,13.6164547,0.0,KOI-1599,1.02,0.972,5823.0,1131.64,298.3738383,40.6184483,2019.0,Transit,755.0,,0.06,14.854
koi-1783.01,8.954,,134.4786723,,KOI-1783,1.076,1.143,5923.0,865.73,289.3414629,46.988155,2020.0,Transit,,,0.11,13.9061
koi-1783.02,6.36,,284.063137,0.0,KOI-1783,0.996,1.336,5791.0,865.73,289.3414629,46.988155,2020.0,Transit,321.0,,0.02,13.9061
koi-1831 d,1.3,,34.2069,0.0,Kepler-324,0.85,0.75,5319.0,501.574,286.4714473,49.6490933,2018.0,Transit,459.0,,,14.0909
koi-1833 d,,,7.68433241,,Kepler-968,0.696,0.701769,4442.0,290.324,285.6025889,50.1120401,2021.0,Transit,,,,14.2499
koi-1843.03,0.63,,0.176893,,Kepler-974,,0.52,3673.0,134.311,285.0131082,40.2209547,2013.0,Transit,1654.0,,,14.4126
koi-217 b,11.7,,3.905081,0.0,KOI-217,0.923,0.82,5595.0,914.699,294.8654667,46.2858128,2010.0,Transit,1028.0,,,15.1013
koi-2513.01,103.23,,19.00537199,0.0,KOI-2513,1.032,1.036,6347.0,1369.87,293.6688776,46.3792321,2023.0,Transit,758.0,,-0.32,14.809
koi-3503 b,1.142,,21.1875846,,KOI-3503,0.858,1.255,6001.0,887.064,293.1507654,41.7291532,2021.0,Transit,,,-0.47,13.7744
koi-3503 c,1.185,,31.8245304,,KOI-3503,0.858,1.255,6001.0,887.064,293.1507654,41.7291532,2021.0,Transit,,,-0.47,13.7744
koi-351 b,1.15,,7.00828076,0.0,KOI-351,0.967,1.054,6238.0,848.254,284.4334642,49.3051239,2013.0,Transit,1061.0,,-0.4,13.7397
koi-351 c,,,8.71980135,,KOI-351,1.12,1.24773,6031.13,848.254,284.4334642,49.3051239,2013.0,Transit,,,0.083,13.7397
koi-351 d,2.866,,,,KOI-351,,1.211,6015.0,848.254,284.4334642,49.3051239,2013.0,Transit,,,,13.7397
koi-351 e,,,91.939842486,,KOI-351,1.12,1.24773,6031.13,848.254,284.4334642,49.3051239,2013.0,Transit,,,0.083,13.7397
koi-351 f,3.37,,124.922516,0.0,KOI-351,1.089,1.2,5970.0,848.254,284.4334642,49.3051239,2013.0,Transit,407.0,,0.1,13.7397
koi-351 g,6.86,,210.6031105,0.0,KOI-351,0.967,1.054,6238.0,848.254,284.4334642,49.3051239,2013.0,Transit,341.0,,-0.4,13.7397
koi-351 h,11.252,235.7495194,331.6011081,0.0,KOI-351,1.108,,,848.254,284.4334642,49.3051239,2013.0,Transit,,,,13.7397
koi-3680 b,11.49,,141.2415405,0.0,KOI-3680,0.941,1.017,5705.0,921.986,293.2815266,45.3096572,2018.0,Transit,352.0,,0.0,14.5027
koi-4777.01,0.51,99.2,0.412,0.0,KOI-4777,0.41,0.4,3515.0,172.245,287.2621474,42.0322257,2022.0,Transit,1180.0,,0.1,15.8525
koi-4978 b,0.7,,0.941967,,KOI-4978,0.859,0.966,5050.28,936.341,286.5907635,38.5582993,2024.0,Transit,,G,,15.2477
koi-55 b,0.759,0.44,0.240104,,KOI-55,0.496,0.203,27730.0,1231.02,296.3561853,41.0927315,2011.0,Orbital Brightness Modulation,,B,,14.9062
koi-55 c,0.867,0.655,0.342887,,KOI-55,0.496,0.203,27730.0,1231.02,296.3561853,41.0927315,2011.0,Orbital Brightness Modulation,,B,,14.9062
koi-7368 b,,,6.842939,,KOI-7368,0.782,0.995767,4823.55,264.995,293.9476365,48.0652589,2022.0,Transit,,,0.0578,12.8094
koi-7913 b,2.03,,24.2783801,0.0,KOI-7913 A,0.698,0.707,4450.0,271.277,286.7485252,45.1587234,2022.0,Transit,432.0,,0.14,14.2239
koi-94 b,1.5,,3.743166733,0.0,KOI-94,1.106,1.331,6181.0,477.052,297.3330716,41.8911186,2013.0,Transit,1423.0,,-0.02,12.1882
koi-94 c,3.72,,10.423677765,,KOI-94,1.18,1.32,6210.0,477.052,297.3330716,41.8911186,2013.0,Transit,,,0.01,12.1882
koi-94 d,,,22.3429711728,,KOI-94,1.183,1.42864,6184.0,477.052,297.3330716,41.8911186,2013.0,Transit,,,0.11,12.1882
koi-94 e,,10.49,54.319962,,KOI-94,1.177,1.352,,477.052,297.3330716,41.8911186,2013.0,Transit,,,,12.1882
koi-984 b,3.19,,4.2873775,0.0,KOI-984,1.01,0.92,5515.0,252.667,291.0489438,36.8400772,2022.0,Transit,1023.0,,,
koi-984 c,,24.0,8.5999,0.02,KOI-984,0.928,0.818,5295.0,252.667,291.0489438,36.8400772,2022.0,Transit Timing Variations,943.0,,0.12,
kointreau-1 b,,3368.9811142,,,XEST 17-036,0.26,,3551.0,158.618,68.359288,22.758056,2026.0,Imaging,,M4,-0.15,16.5081
kointreau-3 b,,1080.6165838,,,ISO-Oph 96,,,3920.0,140.563,246.7687845,-24.716683,2026.0,Imaging,,K6-M1,-0.05,16.6016
kointreau-4 b,,4862.7746271,,,2MASS J16262785-2625152,,,,145.434,246.6160467,-26.4209954,2026.0,Imaging,,M4.5,,14.1017
kps-1 b,,,1.706304,,KPS-1,0.892,0.907,5165.0,262.706,165.167198,64.9638452,2018.0,Transit,,K1 V,0.22,12.7933
kapteyn c,,7.0,121.54,0.23,Kapteyn,0.281,0.291,3550.0,3.93305,77.9586613,-45.0430198,2014.0,Radial Velocity,,,-0.89,8.06198
kepler-10 b,1.43,,0.837491225,0.0,Kepler-10,0.884,1.044,5676.0,185.506,285.679298,50.2414842,2011.0,Transit,1980.0,,-0.12,10.9191
kepler-10 c,2.355,11.4,45.294301,0.13,Kepler-10,0.91,1.065,5708.0,185.506,285.679298,50.2414842,2011.0,Transit,578.0,,-0.15,10.9191
kepler-10 d,,12.68,151.04,0.26,Kepler-10,0.91,1.065,5708.0,185.506,285.679298,50.2414842,2023.0,Radial Velocity,,,-0.15,10.9191
kepler-100 b,,,6.88707073,,Kepler-100,1.059,1.5582,5859.0,304.645,291.3861294,41.9901394,2014.0,Transit,,,0.09,11.1293
kepler-100 c,,,12.815863973,,Kepler-100,1.059,1.5582,5859.0,304.645,291.3861294,41.9901394,2014.0,Transit,,,0.09,11.1293
kepler-100 d,1.61,3.0,35.3331,,Kepler-100,1.08,1.49,5825.0,304.645,291.3861294,41.9901394,2014.0,Transit,,,0.02,11.1293
kepler-100 e,,24.14271827,60.888588,0.026437,Kepler-100,1.097,,,304.645,291.3861294,41.9901394,2023.0,Radial Velocity,,,,11.1293
kepler-1000 b,4.67,,120.0181272,0.0,Kepler-1000,1.338,1.484,6749.0,1115.62,286.6854729,47.0981948,2016.0,Transit,501.0,,-0.04,13.1923
kepler-1001 b,2.9,,14.3052,0.0,Kepler-1001,0.959,0.85,5734.0,928.978,286.2739151,48.6186972,2016.0,Transit,693.0,,,15.3302
kepler-1001 c,1.45,,9.18186435,,Kepler-1001,0.902,0.796,5440.0,928.978,286.2739151,48.6186972,2020.0,Transit,,,0.04,15.3302
kepler-1002 b,1.71,,4.336429331,,Kepler-1002,1.22,1.57,6144.0,408.303,293.0794629,43.073677,2016.0,Transit,,,0.04,11.6475
kepler-1003 b,2.035,,,,Kepler-1003,,1.315,5672.0,941.902,292.0204349,44.8762427,2016.0,Transit,,,,14.0225
kepler-1004 b,7.09,,5.28789787,0.0,Kepler-1004,1.41,3.79,4992.0,1152.68,297.3593427,49.7975464,2016.0,Transit,1662.0,,0.04,13.3998
kepler-1005 b,1.56,,6.498013,0.0,Kepler-1005,1.032,1.04,6057.0,567.806,286.2858998,43.3205085,2016.0,Transit,1039.0,,,13.1838
kepler-1006 b,,,19.76176209,,Kepler-1006,,,,,295.7542063,42.5373065,2016.0,Transit,,,,
kepler-1007 b,1.44,,5.185002073,,Kepler-1007,0.73,0.7,4587.0,,295.9065297,45.8090893,2016.0,Transit,,,0.03,14.7347
kepler-1008 b,,,12.4393133637,,Kepler-1008,0.85,0.724115,5066.94,282.565,296.5476395,44.9418307,2016.0,Transit,,,0.045,13.379
kepler-1009 b,2.381,,,,Kepler-1009,,0.699,3594.0,355.019,282.8598614,42.6658336,2016.0,Transit,,,,15.3014
kepler-101 b,4.43,,3.487689428,,Kepler-101,0.98,1.23,5450.0,927.981,283.255507,48.3552474,2014.0,Transit,,,0.3,13.5672
kepler-101 c,0.91,,6.02979518,0.0,Kepler-101,1.125,1.208,5761.0,927.981,283.255507,48.3552474,2014.0,Transit,1075.0,,0.48,13.5672
kepler-1010 b,,,34.26852697,,Kepler-1010,0.86,0.790287,5123.0,579.273,289.1926026,44.1493165,2016.0,Transit,,,,14.6875
kepler-1011 b,2.501,,,,Kepler-1011,,0.74,5456.0,736.779,297.4015491,46.8239976,2016.0,Transit,,,,15.2028
kepler-1012 b,1.29,,5.50860439,,Kepler-1012,0.95,0.91,5556.0,411.077,289.2962253,46.4579889,2016.0,Transit,,,0.05,13.3154
kepler-1013 b,4.7,,18.93054959,0.0,Kepler-1013,0.955,1.643,5015.0,422.246,290.2481023,44.4352935,2016.0,Transit,766.0,,0.36,14.4077
kepler-1014 b,,,16.57099265,,Kepler-1014,0.91,0.809677,5285.0,624.8,285.1219875,44.1105331,2016.0,Transit,,,,14.6265
kepler-1015 b,2.803,,16.00494214,,Kepler-1015,1.265,1.451,6443.0,739.357,292.7573088,43.4268439,2016.0,Transit,,,0.03,12.7586
kepler-1016 b,2.18,,1.954524342,,Kepler-1016,0.99,1.0,5821.0,1402.82,294.613689,45.9846265,2016.0,Transit,,,-0.03,15.3193
kepler-1016 c,,,105.653571735,,Kepler-1016,1.0,1.20599,5643.68,1402.82,294.613689,45.9846265,2016.0,Transit,,,0.0149,15.3193
kepler-1017 b,2.017,,7.23400469,,Kepler-1017,0.949,0.87,5400.0,552.058,283.469299,40.1325185,2016.0,Transit,,,0.2,14.1153
kepler-1018 b,3.007,,,,Kepler-1018,,1.017,5374.0,1010.01,283.5967317,45.4078654,2016.0,Transit,,,,15.0142
kepler-1019 b,1.36,,1.411229847,0.0,Kepler-1019,0.611,0.625,4350.0,194.182,283.7175909,47.2043818,2016.0,Transit,1049.0,,-0.26,13.5934
kepler-102 b,0.49,,5.28695437,0.0,Kepler-102,0.734,0.755,4812.0,107.796,281.4824731,47.2078263,2014.0,Transit,797.0,,0.02,11.4784
kepler-102 c,0.567,1.7,7.071392,0.094,Kepler-102,0.803,0.724,4909.0,107.796,281.4824731,47.2078263,2014.0,Transit,777.0,,0.11,11.4784
kepler-102 d,1.4,,10.31173752,0.0,Kepler-102,0.734,0.755,4812.0,107.796,281.4824731,47.2078263,2014.0,Transit,638.0,,0.02,11.4784
kepler-102 e,2.43,,,,Kepler-102,,0.726,4909.0,107.796,281.4824731,47.2078263,2013.0,Transit,,,,11.4784
kepler-102 f,0.81,,27.4537294,,Kepler-102,0.8,0.74,4884.0,107.796,281.4824731,47.2078263,2014.0,Transit,,,0.03,11.4784
kepler-1020 b,,,96.91519761,,Kepler-1020,0.89,0.734936,5238.53,415.358,292.672471,46.3772776,2016.0,Transit,,,-0.147,13.9833
kepler-1021 b,1.96,,13.47472742,0.0,Kepler-1021,0.821,0.734,5395.0,810.082,295.2048999,42.5596699,2016.0,Transit,634.0,,-0.34,15.1734
kepler-1022 b,2.36,,10.99469878,,Kepler-1022,0.71,0.68,4445.0,420.042,289.3520595,46.9736345,2016.0,Transit,,,0.06,15.3772
kepler-1023 b,,,62.1385979,,Kepler-1023,0.9,0.961753,5268.0,694.175,289.0297232,49.7697034,2016.0,Transit,,,,14.502
kepler-1024 b,,,66.4159789,,Kepler-1024,0.9,0.810164,5242.74,1087.4,291.9510277,38.2516419,2016.0,Transit,,,-0.162,16.0064
kepler-1025 b,2.0,,37.32281,0.0,Kepler-1025,1.13,1.06,6290.0,803.776,284.510214,43.9615628,2016.0,Transit,598.0,,,13.5557
kepler-1026 b,,,36.51559488,,Kepler-1026,0.79,0.697921,4844.0,351.239,283.6053012,39.9979286,2016.0,Transit,,,,14.2019
kepler-1027 b,,,1.907810683,,Kepler-1027,0.92,1.17894,5348.19,405.104,287.5711746,42.8138159,2016.0,Transit,,,-0.009,12.8401
kepler-1028 b,1.33,,2.51462432,,Kepler-1028,0.9,0.87,5522.0,607.916,289.5931004,49.7812447,2016.0,Transit,,,-0.09,14.3098
kepler-1029 b,1.57,,4.417692516,0.0,Kepler-1029,0.723,0.664,4766.0,366.656,292.1328738,41.5474786,2016.0,Transit,790.0,,-0.24,14.3009
kepler-103 b,3.14,,15.96533687,0.0,Kepler-103,1.094,1.436,5845.0,494.832,288.9845512,40.0644857,2014.0,Transit,864.0,,0.07,12.2466
kepler-103 c,5.47,,179.609803,0.0,Kepler-103,1.068,1.433,5880.0,494.832,288.9845512,40.0644857,2014.0,Transit,389.0,,0.08,12.2466
kepler-1030 b,2.52,,19.32952416,0.0,Kepler-1030,0.866,0.78,5023.0,758.702,293.6819098,45.8175241,2016.0,Transit,534.0,,0.21,15.7163
kepler-1031 b,0.78,,1.22621732,0.0,Kepler-1031,1.059,0.991,6095.0,682.882,296.0898796,48.9554121,2016.0,Transit,1769.0,,-0.1,
kepler-1032 b,,,3.29012003,,Kepler-1032,,,4446.0,673.01,289.9308779,40.0977109,2016.0,Transit,,,,15.7993
kepler-1033 b,2.4,,7.56052209,0.0,Kepler-1033,1.026,0.94,5895.0,1455.5,283.8450963,44.6090251,2016.0,Transit,914.0,,-0.02,15.9289
kepler-1034 b,,,12.12401737,,Kepler-1034,0.86,0.773178,5099.0,654.549,286.1154093,37.9669464,2016.0,Transit,,,,15.074
kepler-1035 b,1.0,,2.714077555,0.0,Kepler-1035,0.734,0.818,5709.0,562.116,289.042243,42.8824991,2016.0,Transit,1228.0,,-0.7,13.0054
kepler-1036 b,2.8,,122.8767,0.0,Kepler-1036,0.919,0.82,5590.0,489.435,295.1817093,49.9458172,2016.0,Transit,325.0,,,13.7635
kepler-1037 b,1.28,,1.063788673,,Kepler-1037,0.82,0.78,5105.0,446.914,296.3410342,47.1709335,2016.0,Transit,,,-0.03,14.2311
kepler-1038 b,,,148.460057456,,Kepler-1038,0.89,0.80043,5238.0,584.136,298.9721472,44.1323499,2016.0,Transit,,,,14.8561
kepler-1038 c,1.17,,7.12768673,0.0,Kepler-1038,0.828,0.759,5463.0,584.136,298.9721472,44.1323499,2021.0,Transit,805.0,,-0.3,14.8561
kepler-1039 b,1.1,,0.9348918,0.0,Kepler-1039,0.67,0.6,4674.0,306.91,298.3266169,45.3154212,2016.0,Transit,1305.0,,,14.0958
kepler-104 b,2.35,,11.427550984,0.0,Kepler-104,0.913,1.005,5979.0,400.785,287.6046621,42.1665104,2014.0,Transit,852.0,,-0.34,12.5697
kepler-104 c,3.13,,23.668205,,Kepler-104,,1.349,5711.0,400.785,287.6046621,42.1665104,2014.0,Transit,,,,12.5697
kepler-104 d,3.41,,51.75529576,0.0,Kepler-104,0.814,1.361,5755.0,400.785,287.6046621,42.1665104,2014.0,Transit,588.0,,-0.52,12.5697
kepler-1040 b,1.84,,201.1214,0.0,Kepler-1040,0.819,0.845,5804.0,482.119,283.1137663,48.1312774,2016.0,Transit,297.0,,-0.5,13.3216
