pl_name,radius,mass,orbital_period,eccentricity,star_name,star_mass,star_radius,star_teff,star_distance,ra,dec,discovered,detection_type,eq_temperature,star_spectype
hat-p-8 b,,,3.0763433,,HAT-P-8,1.28,1.58,6200.0,211.553,343.0414932,35.4471778,2008.0,Transit,,F
hat-p-9 b,15.614137,238.05467,3.92281072,0.084,HAT-P-9,1.281,1.338,6350.0,455.203,110.1685157,37.1405946,2008.0,Transit,1540.0,F
hats-26 b,17.80799124,,3.3023907305,,HATS-26,,1.91031,6071.0,861.843,144.9268593,-28.5856004,2016.0,Transit,1753.94,F
hats-27 b,,,4.6370496,,HATS-27,1.415,1.74,6438.0,816.988,193.5524603,-46.5877159,2016.0,Transit,,F
hats-3 b,15.479629,349.613,3.547851,0.3,HATS-3,1.21,1.4,6351.0,411.211,312.4574879,-24.4286938,2013.0,Transit,,F
hats-31 b,14.33267511,,3.37796143336,,HATS-31,,1.66165,6113.0,773.974,191.7028214,-24.4273897,2016.0,Transit,1617.93,F
hats-39 b,,,4.5776346,,HATS-39,1.379,1.621,6572.0,878.521,112.4192251,-29.9379163,2018.0,Transit,,F
hats-40 b,15.09024862,,3.26331647417,,HATS-40,,2.08347,6561.0,1342.29,100.5712467,-29.77678,2018.0,Transit,1912.75,F
hats-41 b,,,4.1936623,0.38,HATS-41,1.496,1.71,6424.0,737.668,103.5173558,-27.0504156,2018.0,Transit,,F
hats-42 b,,,2.29210275,,HATS-42,1.273,1.48,6060.0,800.377,108.4523991,-33.4373462,2018.0,Transit,,F
hats-45 b,13.90023688,,4.1876153815,,HATS-45,,1.23733,6675.0,772.11,101.9942455,-21.9107112,2018.0,Transit,1361.2,F
hats-55 b,12.1025,,4.20420780773,,HATS-55,,1.07,6781.0,609.838,114.2833819,-32.7554188,2019.0,Transit,1210.0,F
hats-56 b,,,4.3247662,,HATS-56,1.573,2.201,6536.0,564.409,180.165072,-45.7994559,2019.0,Transit,,F
hats-58 a b,,,4.2180733,,HATS-58 A,1.461,1.433,7175.0,403.591,186.7873036,-48.9784105,2019.0,Transit,,F
hats-64 b,15.96197585,,4.90888191904,,HATS-64,,2.09179,6606.0,1080.15,144.2876092,-29.800444,2018.0,Transit,1680.07,F
hats-65 b,,,3.10515933,,HATS-65,1.257,1.31,6277.0,493.32,292.9397825,-26.7402021,2018.0,Transit,,F
hats-66 b,15.815899,1694.0339,3.1414391,0.064,HATS-66,1.411,1.841,6626.0,1477.98,101.3948048,-33.8816918,2018.0,Transit,1998.0,F
hats-67 b,18.887165,460.8535,1.6091788,0.057,HATS-67,1.435,1.441,6594.0,960.109,180.2087883,-46.1364201,2018.0,Transit,2193.0,F
hats-68 b,13.809488,410.0007,3.5862202,0.036,HATS-68,1.351,1.748,6147.0,603.955,15.006077,-58.9047242,2018.0,Transit,1741.0,F
hd 103774 b,,116.0,5.8881,0.09,HD 103774,1.335,,6489.0,56.4089,179.2310729,-12.1079951,2013.0,Radial Velocity,,F5 V
hd 103891 b,,918.52409623,1894.0,0.31,HD 103891,1.28,,6072.0,55.5213,179.4382907,-8.5486195,2022.0,Radial Velocity,,F8 V
hd 106315 b,2.25,10.1,9.552105,,HD 106315,1.091,1.222,6450.0,109.353,183.4724742,-0.3934357,2017.0,Transit,,F
hd 106315 c,,,21.056614,,HD 106315,1.07,1.18,6290.0,109.353,183.4724742,-0.3934357,2017.0,Transit,,F5 V
hd 10647 b,,298.75,989.2,0.15,HD 10647,1.11,1.1,6218.0,17.3357,25.6233526,-53.7412852,2006.0,Radial Velocity,,F9 V
hd 106906 b,,4115.8985,,,HD 106906,1.32,2.12351,6473.79,103.029,184.4713308,-55.9755805,2013.0,Imaging,1820.0,F
hd 108147 b,,82.95,10.8985,0.53,HD 108147,1.22,1.20664,6255.73,38.92,186.4409852,-64.0223492,2002.0,Radial Velocity,,F
hd 110082 b,3.05380568,,10.1826982735,,HD 110082,,1.14582,6153.0,105.096,192.5892855,-88.1211107,2021.0,Transit,957.2,F
hd 111998 b,,1433.4133,825.9,0.03,HD 111998,1.18,1.45,6557.0,33.2237,193.2953521,-3.5531133,2016.0,Radial Velocity,,F5 V
hd 113337 b,,985.273,,,HD 113337,,1.5,6774.0,36.18,195.4438496,63.610328,2013.0,Radial Velocity,,F
